ENTRY            O2575   20230514                             O097O2575000    1 
SUBENT        O2575001   20230514                             O097O2575001    1 
BIB                 11         37                                 O2575001    2 
TITLE      Measurement, evaluation and benchmarking of            O2575001    3 
            differential cross sections for proton elastic        O2575001    4 
            scattering on natO in the energy range E = 4-6 MeV,   O2575001    5 
            suitable for EBS                                      O2575001    6 
AUTHOR     (M.Kokkoris, K.Bosmpotinis, V.Foteinou, A.F.Gurbich,   O2575001    7 
            A.Lagoyannis, F.Maragkos, N.Patronis, E.Taimpiri,     O2575001    8 
            A.Ziagkova)                                           O2575001    9 
INSTITUTE  (2GRCTUA,2GERBOC,4RUSFEI,2GRCATH,2GRCIOA)              O2575001   10 
REFERENCE  (J,NIM/B,539,15,2023)                                  O2575001   11 
           #doi:10.1016/j.nimb.2023.03.014                        O2575001   12 
FACILITY   (VDGT,2GRCATH)                                         O2575001   13 
INC-SPECT  The incident accelerator beam energy was corrected     O2575001   14 
           with the the energy loss in the ultra thin surface     O2575001   15 
           gold layer and the energy loss considering half of     O2575001   16 
           the disodium phosphate target thickness.               O2575001   17 
DETECTOR   (SIBAR) Six Si surface barrier detectors, having a     O2575001   18 
           thickness of 500 um.                                   O2575001   19 
SAMPLE     Thin, multi-layered structure, consisting of thin      O2575001   20 
           carbon foil, on top of which a layer of disodium       O2575001   21 
           phosphate (Na2HPO4, 8-10 keV in thickness, for         O2575001   22 
           Ep,lab = 6 to 4 MeV respectively), rich in oxygen,     O2575001   23 
           was evaporated and, on top of this, an ultra-thin Au   O2575001   24 
           layer (<1 keV) was also subsequently evaporated for    O2575001   25 
           normalization and wear protection purposes.            O2575001   26 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA,,RTH)                    O2575001   27 
ERR-ANALYS (ERR-S) Statistical uncertainty including the          O2575001   28 
           statistical error in the integrated yield of the p-Au  O2575001   29 
           scattering that was always kept below 2%, the          O2575001   30 
           corresponding one of the p-natO scattering that did    O2575001   31 
           not exceed 2-3% in the least favorable case and the    O2575001   32 
           NAu/NnatO ratio of about 1.8%.                         O2575001   33 
           (ERR-SYS,,7.) Systematic uncertainty originating from: O2575001   34 
           - accuracy of the implemented stopping power           O2575001   35 
           - lateral inhomogeneities in the target composition    O2575001   36 
           - carbon buildup effects                               O2575001   37 
HISTORY    (20230513R) Data reveived from M.Kokkoris for IBANDL   O2575001   38 
           (20230514C) VS                                         O2575001   39 
ENDBIB              37          0                                 O2575001   40 
NOCOMMON             0          0                                 O2575001   41 
ENDSUBENT           40          0                                 O257500199999 
SUBENT        O2575002   20230514                             O097O2575002    1 
BIB                  2          4                                 O2575002    2 
REACTION   (8-O-0(P,EL)8-O-0,,DA)                                 O2575002    3 
STATUS     (TABLE) Fig. 2 of                                      O2575002    4 
           Nucl.Instrum.Method Phys.Res.B 539(2023)15             O2575002    5 
           Converted by R33toX4 from R33 files.                   O2575002    6 
ENDBIB               4          0                                 O2575002    7 
NOCOMMON             0          0                                 O2575002    8 
DATA                 5        888                                 O2575002    9 
ANG        EN         EN-ERR     DATA       ERR-S                 O2575002   10 
       130.      4862.         6.     130.14       5.21           O2575002  218 
       130.      4877.         6.     127.23       5.09           O2575002  219 
       130.      4892.         6.     121.85       4.87           O2575002  220 
       130.      4907.         6.     119.90       4.80           O2575002  221 
       130.      4922.         6.     112.10       4.48           O2575002  222 
       130.      4937.         6.     113.26       4.53           O2575002  223 
       130.      4952.         6.     107.75       4.31           O2575002  224 
       130.      4967.         6.     103.92       4.16           O2575002  225 
       130.      4982.         6.     100.35       4.01           O2575002  226 
       130.      4997.         6.     100.41       4.02           O2575002  227 
       130.      5012.         6.      93.39       3.74           O2575002  228 
       130.      5027.         6.      93.06       3.72           O2575002  229 
       130.      5042.         6.      84.57       3.38           O2575002  230 
       130.      5057.         6.      85.63       3.43           O2575002  231 
       130.      5072.         6.      82.20       3.29           O2575002  232 
       130.      5087.         6.      76.56       3.06           O2575002  233 
       130.      5102.         6.      72.51       2.90           O2575002  234 
       130.      5117.         6.      68.09       2.72           O2575002  235 
       130.      5132.         6.      58.53       2.34           O2575002  236 
       130.      5147.         6.      56.44       2.26           O2575002  237 
       130.      5157.         6.      51.27       2.05           O2575002  238 
       130.      5167.         6.      47.99       1.92           O2575002  239 
       130.      5177.         6.      47.82       1.91           O2575002  240 
       130.      5188.         6.      54.51       2.18           O2575002  241 
       130.      5197.         6.      70.09       2.80           O2575002  242 
       130.      5207.         6.      90.62       3.62           O2575002  243 
       130.      5217.         6.     103.83       4.15           O2575002  244 
       130.      5227.         6.     113.94       4.56           O2575002  245 
       130.      5242.         6.     115.86       4.63           O2575002  246 
       130.      5257.         6.     108.86       4.35           O2575002  247 
       130.      5272.         6.     111.55       4.46           O2575002  248 
       130.      5287.         6.     109.31       4.37           O2575002  249 
       130.      5303.         6.     112.30       4.49           O2575002  250 
       130.      5318.         6.     116.17       4.65           O2575002  251 
       130.      5333.         6.     126.04       5.04           O2575002  252 
       130.      5348.         6.     133.84       5.35           O2575002  253 
       130.      5363.         6.     160.60       6.42           O2575002  254 
       130.      5368.         6.     169.66       6.79           O2575002  255 
       130.      5373.         6.     194.17       7.77           O2575002  256 
       130.      5378.         6.     210.30       8.41           O2575002  257 
       130.      5384.         6.     227.76       9.11           O2575002  258 
       130.      5388.         6.     232.11       9.28           O2575002  259 
       130.      5393.         6.     255.38      10.22           O2575002  260 
       130.      5398.         6.     259.94      10.40           O2575002  261 
       130.      5403.         6.     218.35       8.73           O2575002  262 
       130.      5418.         6.     153.74       6.15           O2575002  263 
       130.      5433.         6.      97.20       3.89           O2575002  264 
       130.      5448.         6.      68.06       2.72           O2575002  265 
       130.      5463.         6.      49.66       1.99           O2575002  266 
       130.      5478.         6.      39.10       1.56           O2575002  267 
       130.      5493.         6.      29.41       1.18           O2575002  268 
       130.      5508.         6.      47.01       1.88           O2575002  269 
       130.      5523.         6.     104.99       4.20           O2575002  270 
       130.      5538.         6.     106.44       4.26           O2575002  271 
       130.      5553.         6.      97.36       3.89           O2575002  272 
       130.      5568.         6.      88.77       3.55           O2575002  273 
       130.      5583.         6.      77.29       3.09           O2575002  274 
