ENTRY            O2555   20230203                             O094O2555  0    1 
SUBENT        O2555001   20230203                             O094O2555  1    1 
BIB                 16         42                                 O2555  1    2 
TITLE      Excitation energy dependence of prompt fission         O2555  1    3 
            gamma-ray emission from 241Pu*                        O2555  1    4 
AUTHOR     (D.Gjestvang, S.Siem, F.Zeiser, J.Randrup, R.Vogt,     O2555  1    5 
            J.N.Wilson, F.Bello-Garrote, L.A.Bernstein,           O2555  1    6 
            D.L.Bleuel, M.Guttormsen, A.Goergen, A.C.Larsen,      O2555  1    7 
            K.L.Malatji, E.F.Matthews, A.Oberstedt, S.Oberstedt,  O2555  1    8 
            T.Tornyi, G.M.Tveten, A.S.Voyles)                     O2555  1    9 
INSTITUTE  (2NOROSL,1USABRK,1USALRL,1USADAV,2FR PAR,1USAUCX,      O2555  1   10 
           3SAFITH,3SAFSTL,3RUMBUC,2ZZZGEL,3HUNDEB)               O2555  1   11 
REFERENCE  (J,PR/C,103,034609,2021)                               O2555  1   12 
           #doi:10.1103/PhysRevC.103.034609                       O2555  1   13 
REL-REF    (O,23783001,D.Gjestvang+,J,PR/C,103,034609,2021)       O2555  1   14 
           PFG from spontaneous fission of 252Cf.                 O2555  1   15 
FACILITY   (CYCLO,2NOROSL) Oslo Cyclotron Laboratory              O2555  1   16 
SAMPLE     A target of 0.4 mg/cm2 thick 240Pu on a 2.3 mg/cm2 9Be O2555  1   17 
DETECTOR   (TELES,SISD,SI) The outgoing protons were detected by  O2555  1   18 
           a silicon deltaE-E detector, consisting of eight       O2555  1   19 
            1550 um thick E pads each fronted with eight 130 um   O2555  1   20 
           thick deltaE strips.                                   O2555  1   21 
           (PPAC) Fission fragments were detected using NIFF ,    O2555  1   22 
           consisting of four parallel plate avalanche counters.  O2555  1   23 
           (SCIN) Photons were detected Oslo Scintillator Array,  O2555  1   24 
           consisting of 30 new LaBr3:Ce scintillator detectors.  O2555  1   25 
PART-DET   (P,FF,G)                                               O2555  1   26 
METHOD     (EDE)                                                  O2555  1   27 
           (COINC) Coincidence between a proton, a fission        O2555  1   28 
           fragment, and a gamma-ray.                             O2555  1   29 
           (TOF)                                                  O2555  1   30 
ANALYSIS   (UNFLD)                                                O2555  1   31 
COMMENT    A deficit in the low-energy gamma rays was observed    O2555  1   32 
           in the 252Cf benchmark measurement. Scaling factors forO2555  1   33 
           the PFG characteristics were therefore introduced basedO2555  1   34 
           on comparison to previous 252Cf measurements.          O2555  1   35 
EN-SEC     (E-EXC,94-PU-241)                                      O2555  1   36 
           (E,G)                                                  O2555  1   37 
ERR-ANALYS (ERR-S) The statistical uncertainties, propagated      O2555  1   38 
           through the gamma-ray unfolding routine, as well as theO2555  1   39 
           statistical uncertainty on the number of fissions      O2555  1   40 
           detected.                                              O2555  1   41 
STATUS     (APRVD) Approved by D. Gjestvang 24.02.2023            O2555  1   42 
HISTORY    (20230203C) VS                                         O2555  1   43 
           (20230201R) Data received from D. Gjestvang            O2555  1   44 
ENDBIB              42          0                                 O2555  1   45 
NOCOMMON             0          0                                 O2555  1   46 
ENDSUBENT           45          0                                 O2555  199999 
SUBENT        O2555002   20230203                             O094O2555  2    1 
BIB                  2          4                                 O2555  2    2 
REACTION   (94-PU-240(D,P+F)0-G-0,PR,FY/DE,,MSC)                  O2555  2    3 
            Prompt fission gamma-ray spectra for 241Pu for        O2555  2    4 
            excitationenergies in the range 5.5-8.5 MeV           O2555  2    5 
STATUS     (TABLE) Fig. 5 of Phys.Rev.C103(2021)034609            O2555  2    6 
ENDBIB               4          0                                 O2555  2    7 
COMMON               1          3                                 O2555  2    8 
EN                                                                O2555  2    9 
MEV                                                               O2555  2   10 
       13.5                                                       O2555  2   11 
ENDCOMMON            3          0                                 O2555  2   12 
DATA                 5        732                                 O2555  2   13 
E-EXC-MIN  E-EXC-MAX  E          DATA       ERR-S                 O2555  2   14 
        6.5         7.     4.7895     0.0413     0.0186           O2555  2  334 
        6.5         7.     4.8846     0.0553     0.0201           O2555  2  335 
        6.5         7.     4.9806     0.0571     0.0187           O2555  2  336 
        6.5         7.     5.0774     0.0371     0.0183           O2555  2  337 
        6.5         7.      5.175     0.0377     0.0162           O2555  2  338 
        6.5         7.     5.2736     0.0372     0.0178           O2555  2  339 
        6.5         7.      5.373     0.0176     0.0146           O2555  2  340 
        6.5         7.     5.4733     0.0532     0.0182           O2555  2  341 
        6.5         7.     5.5744      0.053     0.0179           O2555  2  342 
        6.5         7.     5.6764     0.0498     0.0185           O2555  2  343 
        6.5         7.     5.7793     0.0593     0.0207           O2555  2  344 
        6.5         7.      5.883      0.009     0.0149           O2555  2  345 
        6.5         7.     5.9876     0.0329     0.0172           O2555  2  346 
        6.5         7.     6.0931     0.0497     0.0184           O2555  2  347 
        6.5         7.     6.1995     0.0328     0.0146           O2555  2  348 
        6.5         7.     6.3067    -0.0139      0.012           O2555  2  349 
        6.5         7.     6.4148    -0.0007     0.0117           O2555  2  350 
        6.5         7.     6.5237     0.0091     0.0118           O2555  2  351 
        6.5         7.     6.6335    -0.0028     0.0122           O2555  2  352 
        6.5         7.     6.7442     0.0229     0.0119           O2555  2  353 
        6.5         7.     6.8557      0.046     0.0155           O2555  2  354 
        6.5         7.     6.9682     0.0139     0.0092           O2555  2  355 
        6.5         7.     7.0814    -0.0151     0.0102           O2555  2  356 
        6.5         7.     7.1956     0.0083     0.0088           O2555  2  357 
        6.5         7.     7.3106     0.0057      0.008           O2555  2  358 
        6.5         7.     7.4265     0.0032     0.0079           O2555  2  359 
        6.5         7.     7.5433     0.0107     0.0086           O2555  2  360 
        6.5         7.     7.6609     0.0157     0.0085           O2555  2  361 
        6.5         7.     7.7794     0.0057     0.0061           O2555  2  362 
        6.5         7.     7.8987    -0.0023     0.0066           O2555  2  363 
        6.5         7.      8.019    -0.0026     0.0031           O2555  2  364 
        6.5         7.     8.1401    -0.0015     0.0057           O2555  2  365 
        6.5         7.      8.262     0.0079     0.0059           O2555  2  366 
        6.5         7.     8.3848      0.005     0.0071           O2555  2  367 
        6.5         7.     8.5085     0.0036     0.0061           O2555  2  368 
        6.5         7.     8.6331     0.0052      0.006           O2555  2  369 
        6.5         7.     8.7585    -0.0041     0.0052           O2555  2  370 
        6.5         7.     8.8848     -0.004     0.0053           O2555  2  371 
        6.5         7.      9.012      0.001      0.003           O2555  2  372 
        6.5         7.       9.14    -0.0013     0.0036           O2555  2  373 
        6.5         7.      9.269     0.0091      0.007           O2555  2  374 
        6.5         7.     9.3987     0.0025     0.0027           O2555  2  375 
        6.5         7.     9.5294    -0.0002     0.0043           O2555  2  376 
        6.5         7.     9.6609    -0.0002     0.0042           O2555  2  377 
        6.5         7.     9.7932     0.0027     0.0035           O2555  2  378 
        6.5         7.     9.9265    -0.0033         0.           O2555  2  379 
        6.5         7.    10.0606    -0.0016         0.           O2555  2  380 
         7.        7.5     0.1256     0.0334     0.0289           O2555  2  381 
         7.        7.5     0.1559     0.7546     0.1671           O2555  2  382 
         7.        7.5      0.187     0.7491     0.1562           O2555  2  383 
         7.        7.5      0.219     1.7509     0.2175           O2555  2  384 
         7.        7.5     0.2518     1.5669     0.2165           O2555  2  385 
         7.        7.5     0.2855     1.2874     0.1605           O2555  2  386 
         7.        7.5     0.3201     2.7094     0.2056           O2555  2  387 
         7.        7.5     0.3555     5.6896     0.2245           O2555  2  388 
         7.        7.5     0.3917     4.1026     0.2036           O2555  2  389 
         7.        7.5     0.4289     4.3355     0.1859           O2555  2  390 
         7.        7.5     0.4669     5.7723     0.1926           O2555  2  391 
         7.        7.5     0.5057     4.7758     0.1869           O2555  2  392 
         7.        7.5     0.5454     5.8245     0.1771           O2555  2  393 
         7.        7.5      0.586      5.691     0.1675           O2555  2  394 
         7.        7.5     0.6275     5.0531      0.149           O2555  2  395 
         7.        7.5     0.6698     4.3666     0.1531           O2555  2  396 
         7.        7.5     0.7129      4.305     0.1564           O2555  2  397 
         7.        7.5     0.7569     3.3302     0.1326           O2555  2  398 
         7.        7.5     0.8018     3.4763     0.1268           O2555  2  399 
         7.        7.5     0.8476      4.611     0.1565           O2555  2  400 
         7.        7.5     0.8942     2.1765     0.1155           O2555  2  401 
         7.        7.5     0.9417     3.0905     0.1387           O2555  2  402 
         7.        7.5       0.99     2.0404     0.1127           O2555  2  403 
         7.        7.5     1.0392     1.7165     0.0968           O2555  2  404 
         7.        7.5     1.0893     2.5956      0.119           O2555  2  405 
         7.        7.5     1.1402      2.634     0.1111           O2555  2  406 
         7.        7.5      1.192     1.6646     0.0913           O2555  2  407 
         7.        7.5     1.2447     2.1865     0.1113           O2555  2  408 
         7.        7.5     1.2982     1.9329     0.1031           O2555  2  409 
         7.        7.5     1.3526     0.8694     0.0754           O2555  2  410 
         7.        7.5     1.4078     1.6345     0.0879           O2555  2  411 
         7.        7.5     1.4639     1.4424     0.0939           O2555  2  412 
         7.        7.5     1.5209     1.3198     0.0846           O2555  2  413 
         7.        7.5     1.5787     1.3459     0.0835           O2555  2  414 
         7.        7.5     1.6374     1.0018     0.0786           O2555  2  415 
         7.        7.5      1.697     1.1333     0.0836           O2555  2  416 
         7.        7.5     1.7574     0.9131     0.0754           O2555  2  417 
         7.        7.5     1.8187     0.7893     0.0784           O2555  2  418 
         7.        7.5     1.8809     0.7968     0.0717           O2555  2  419 
         7.        7.5     1.9439     0.6753     0.0693           O2555  2  420 
         7.        7.5     2.0078     0.7297     0.0688           O2555  2  421 
         7.        7.5     2.0726     0.7759     0.0779           O2555  2  422 
         7.        7.5     2.1382      0.559     0.0668           O2555  2  423 
         7.        7.5     2.2047     0.5563     0.0622           O2555  2  424 
         7.        7.5     2.2721     0.7781     0.0754           O2555  2  425 
         7.        7.5     2.3403      0.595     0.0641           O2555  2  426 
         7.        7.5     2.4094     0.4078     0.0551           O2555  2  427 
         7.        7.5     2.4793     0.5321     0.0626           O2555  2  428 
         7.        7.5     2.5501     0.4445     0.0633           O2555  2  429 
         7.        7.5     2.6218     0.4397     0.0509           O2555  2  430 
         7.        7.5     2.6944     0.4552     0.0556           O2555  2  431 
         7.        7.5     2.7678     0.3499     0.0497           O2555  2  432 
         7.        7.5     2.8421     0.4366     0.0601           O2555  2  433 
         7.        7.5     2.9172     0.3317     0.0517           O2555  2  434 
         7.        7.5     2.9932      0.323     0.0531           O2555  2  435 
         7.        7.5     3.0701     0.2257     0.0465           O2555  2  436 
         7.        7.5     3.1478     0.2163      0.042           O2555  2  437 
         7.        7.5     3.2264     0.2616      0.043           O2555  2  438 
         7.        7.5     3.3059     0.2577     0.0514           O2555  2  439 
         7.        7.5     3.3862     0.0895     0.0375           O2555  2  440 
         7.        7.5     3.4675     0.1497     0.0347           O2555  2  441 
         7.        7.5     3.5495     0.2071     0.0383           O2555  2  442 
         7.        7.5     3.6325     0.1808     0.0347           O2555  2  443 
         7.        7.5     3.7163     0.1598     0.0324           O2555  2  444 
         7.        7.5     3.8009     0.2084     0.0367           O2555  2  445 
         7.        7.5     3.8865     0.1605     0.0362           O2555  2  446 
         7.        7.5     3.9729     0.2244     0.0344           O2555  2  447 
         7.        7.5     4.0602     0.0698     0.0227           O2555  2  448 
         7.        7.5     4.1483     0.0927     0.0265           O2555  2  449 
         7.        7.5     4.2373     0.0825     0.0253           O2555  2  450 
         7.        7.5     4.3272     0.1374      0.029           O2555  2  451 
         7.        7.5     4.4179      0.068     0.0216           O2555  2  452 
         7.        7.5     4.5095     0.0895     0.0259           O2555  2  453 
         7.        7.5      4.602     0.1295     0.0254           O2555  2  454 
         7.        7.5     4.6953     0.0597      0.021           O2555  2  455 
         7.        7.5     4.7895     0.0613     0.0227           O2555  2  456 
         7.        7.5     4.8846     0.0604     0.0197           O2555  2  457 
         7.        7.5     4.9806     0.0591     0.0181           O2555  2  458 
         7.        7.5     5.0774     0.0417     0.0202           O2555  2  459 
         7.        7.5      5.175     0.0498     0.0199           O2555  2  460 
         7.        7.5     5.2736     0.1141     0.0225           O2555  2  461 
         7.        7.5      5.373     0.0389     0.0191           O2555  2  462 
         7.        7.5     5.4733     0.0231      0.017           O2555  2  463 
         7.        7.5     5.5744     0.0269     0.0176           O2555  2  464 
         7.        7.5     5.6764     0.0448      0.017           O2555  2  465 
         7.        7.5     5.7793     0.0031     0.0146           O2555  2  466 
         7.        7.5      5.883     0.0316     0.0191           O2555  2  467 
         7.        7.5     5.9876     0.0023     0.0165           O2555  2  468 
         7.        7.5     6.0931     0.0288     0.0194           O2555  2  469 
         7.        7.5     6.1995     0.0005     0.0155           O2555  2  470 
         7.        7.5     6.3067     0.0438     0.0159           O2555  2  471 
         7.        7.5     6.4148     0.0352     0.0176           O2555  2  472 
         7.        7.5     6.5237     0.0003     0.0116           O2555  2  473 
         7.        7.5     6.6335     0.0103     0.0133           O2555  2  474 
         7.        7.5     6.7442     0.0218      0.013           O2555  2  475 
         7.        7.5     6.8557    -0.0052     0.0095           O2555  2  476 
         7.        7.5     6.9682     0.0007      0.013           O2555  2  477 
         7.        7.5     7.0814     0.0191     0.0141           O2555  2  478 
         7.        7.5     7.1956     0.0098     0.0116           O2555  2  479 
         7.        7.5     7.3106    -0.0043     0.0076           O2555  2  480 
         7.        7.5     7.4265     0.0085     0.0097           O2555  2  481 
         7.        7.5     7.5433     0.0157     0.0108           O2555  2  482 
         7.        7.5     7.6609     0.0027     0.0073           O2555  2  483 
         7.        7.5     7.7794     0.0133     0.0103           O2555  2  484 
         7.        7.5     7.8987    -0.0022     0.0077           O2555  2  485 
         7.        7.5      8.019     0.0023     0.0078           O2555  2  486 
         7.        7.5     8.1401     0.0058     0.0061           O2555  2  487 
         7.        7.5      8.262     0.0004     0.0062           O2555  2  488 
         7.        7.5     8.3848     0.0051     0.0086           O2555  2  489 
         7.        7.5     8.5085    -0.0041     0.0053           O2555  2  490 
         7.        7.5     8.6331    -0.0068      0.003           O2555  2  491 
         7.        7.5     8.7585     0.0007      0.006           O2555  2  492 
         7.        7.5     8.8848    -0.0017     0.0059           O2555  2  493 
         7.        7.5      9.012     0.0015     0.0055           O2555  2  494 
         7.        7.5       9.14     0.0006     0.0047           O2555  2  495 
         7.        7.5      9.269     0.0027     0.0056           O2555  2  496 
         7.        7.5     9.3987    -0.0004     0.0035           O2555  2  497 
         7.        7.5     9.5294    -0.0002     0.0075           O2555  2  498 
         7.        7.5     9.6609    -0.0037      0.005           O2555  2  499 
         7.        7.5     9.7932     0.0054     0.0063           O2555  2  500 
         7.        7.5     9.9265    -0.0008         0.           O2555  2  501 
         7.        7.5    10.0606     0.0034     0.0038           O2555  2  502 
        7.5         8.     0.1256         0.     0.0516           O2555  2  503 
        7.5         8.     0.1559     0.3763     0.1763           O2555  2  504 
        7.5         8.      0.187     0.9437      0.173           O2555  2  505 
        7.5         8.      0.219     1.8954     0.2802           O2555  2  506 
        7.5         8.     0.2518     1.0732     0.2445           O2555  2  507 
        7.5         8.     0.2855     1.2036      0.201           O2555  2  508 
        7.5         8.     0.3201      2.611     0.2642           O2555  2  509 
        7.5         8.     0.3555     5.0751     0.2795           O2555  2  510 
        7.5         8.     0.3917     4.4357     0.2611           O2555  2  511 
        7.5         8.     0.4289     4.1238     0.2346           O2555  2  512 
        7.5         8.     0.4669       5.55     0.2449           O2555  2  513 
        7.5         8.     0.5057     4.7803      0.238           O2555  2  514 
        7.5         8.     0.5454     6.1159     0.2281           O2555  2  515 
        7.5         8.      0.586     6.1682     0.2302           O2555  2  516 
        7.5         8.     0.6275     4.7962     0.2139           O2555  2  517 
        7.5         8.     0.6698     4.4563     0.1952           O2555  2  518 
        7.5         8.     0.7129     4.4005     0.1998           O2555  2  519 
        7.5         8.     0.7569     3.2923     0.1692           O2555  2  520 
        7.5         8.     0.8018     3.3556     0.1712           O2555  2  521 
        7.5         8.     0.8476     4.2731     0.1963           O2555  2  522 
        7.5         8.     0.8942     2.2445     0.1492           O2555  2  523 
        7.5         8.     0.9417     3.7933     0.1719           O2555  2  524 
        7.5         8.       0.99     2.1707     0.1346           O2555  2  525 
        7.5         8.     1.0392     1.8964     0.1286           O2555  2  526 
        7.5         8.     1.0893     2.5652     0.1528           O2555  2  527 
        7.5         8.     1.1402     2.6878     0.1506           O2555  2  528 
        7.5         8.      1.192     1.7203     0.1134           O2555  2  529 
        7.5         8.     1.2447     2.4886     0.1446           O2555  2  530 
        7.5         8.     1.2982     1.8718     0.1285           O2555  2  531 
        7.5         8.     1.3526     0.9939      0.106           O2555  2  532 
        7.5         8.     1.4078     1.4267     0.1212           O2555  2  533 
        7.5         8.     1.4639     1.3085     0.1196           O2555  2  534 
        7.5         8.     1.5209     1.3509      0.113           O2555  2  535 
        7.5         8.     1.5787     0.9927      0.102           O2555  2  536 
        7.5         8.     1.6374     1.3765     0.1099           O2555  2  537 
        7.5         8.      1.697     1.0489     0.0949           O2555  2  538 
        7.5         8.     1.7574     0.9632      0.099           O2555  2  539 
        7.5         8.     1.8187     1.0032      0.094           O2555  2  540 
        7.5         8.     1.8809     0.7089     0.0877           O2555  2  541 
        7.5         8.     1.9439     0.5808     0.0852           O2555  2  542 
        7.5         8.     2.0078     0.5466     0.0833           O2555  2  543 
        7.5         8.     2.0726     0.8658     0.0949           O2555  2  544 
        7.5         8.     2.1382     0.4389     0.0725           O2555  2  545 
        7.5         8.     2.2047     0.5285     0.0775           O2555  2  546 
        7.5         8.     2.2721     0.6261     0.0871           O2555  2  547 
        7.5         8.     2.3403     0.5582     0.0773           O2555  2  548 
        7.5         8.     2.4094      0.327     0.0643           O2555  2  549 
        7.5         8.     2.4793     0.5642     0.0777           O2555  2  550 
        7.5         8.     2.5501     0.4774     0.0768           O2555  2  551 
        7.5         8.     2.6218     0.4153     0.0605           O2555  2  552 
        7.5         8.     2.6944     0.4056     0.0658           O2555  2  553 
        7.5         8.     2.7678     0.3101      0.057           O2555  2  554 
        7.5         8.     2.8421     0.4373     0.0734           O2555  2  555 
        7.5         8.     2.9172     0.3848     0.0711           O2555  2  556 
        7.5         8.     2.9932     0.2714     0.0622           O2555  2  557 
        7.5         8.     3.0701     0.1772     0.0532           O2555  2  558 
        7.5         8.     3.1478     0.3118     0.0585           O2555  2  559 
        7.5         8.     3.2264     0.1731     0.0464           O2555  2  560 
        7.5         8.     3.3059     0.2554     0.0628           O2555  2  561 
        7.5         8.     3.3862     0.4105     0.0686           O2555  2  562 
        7.5         8.     3.4675     0.2735     0.0555           O2555  2  563 
        7.5         8.     3.5495     0.2751     0.0544           O2555  2  564 
        7.5         8.     3.6325     0.1781      0.052           O2555  2  565 
        7.5         8.     3.7163     0.1156     0.0396           O2555  2  566 
        7.5         8.     3.8009     0.1527     0.0479           O2555  2  567 
        7.5         8.     3.8865      0.166     0.0507           O2555  2  568 
        7.5         8.     3.9729     0.0975     0.0355           O2555  2  569 
        7.5         8.     4.0602     0.1211     0.0352           O2555  2  570 
        7.5         8.     4.1483      0.092     0.0346           O2555  2  571 
        7.5         8.     4.2373     0.1199     0.0338           O2555  2  572 
        7.5         8.     4.3272     0.1018     0.0312           O2555  2  573 
        7.5         8.     4.4179     0.1078     0.0307           O2555  2  574 
        7.5         8.     4.5095     0.0947     0.0318           O2555  2  575 
        7.5         8.      4.602     0.0896     0.0264           O2555  2  576 
        7.5         8.     4.6953      0.085      0.028           O2555  2  577 
        7.5         8.     4.7895     0.0765     0.0266           O2555  2  578 
        7.5         8.     4.8846     0.1006     0.0293           O2555  2  579 
        7.5         8.     4.9806     0.0525     0.0261           O2555  2  580 
        7.5         8.     5.0774     0.0539     0.0251           O2555  2  581 
        7.5         8.      5.175     0.0446     0.0207           O2555  2  582 
        7.5         8.     5.2736     0.0661     0.0239           O2555  2  583 
        7.5         8.      5.373     0.0289     0.0232           O2555  2  584 
        7.5         8.     5.4733     0.0809     0.0239           O2555  2  585 
        7.5         8.     5.5744     0.0139     0.0271           O2555  2  586 
        7.5         8.     5.6764    -0.0194     0.0135           O2555  2  587 
        7.5         8.     5.7793     -0.009     0.0183           O2555  2  588 
        7.5         8.      5.883     0.0328     0.0228           O2555  2  589 
        7.5         8.     5.9876      0.016     0.0206           O2555  2  590 
        7.5         8.     6.0931     0.0123     0.0241           O2555  2  591 
        7.5         8.     6.1995     0.0288      0.022           O2555  2  592 
        7.5         8.     6.3067     0.0231     0.0164           O2555  2  593 
        7.5         8.     6.4148    -0.0053     0.0182           O2555  2  594 
        7.5         8.     6.5237      0.022     0.0197           O2555  2  595 
        7.5         8.     6.6335     0.0109      0.016           O2555  2  596 
        7.5         8.     6.7442     0.0027     0.0188           O2555  2  597 
        7.5         8.     6.8557    -0.0039     0.0187           O2555  2  598 
        7.5         8.     6.9682     0.0333     0.0168           O2555  2  599 
        7.5         8.     7.0814    -0.0066     0.0157           O2555  2  600 
        7.5         8.     7.1956    -0.0092     0.0091           O2555  2  601 
        7.5         8.     7.3106     0.0471     0.0185           O2555  2  602 
        7.5         8.     7.4265    -0.0028     0.0071           O2555  2  603 
        7.5         8.     7.5433    -0.0063     0.0062           O2555  2  604 
        7.5         8.     7.6609     0.0138     0.0146           O2555  2  605 
        7.5         8.     7.7794     -0.003     0.0105           O2555  2  606 
        7.5         8.     7.8987    -0.0024     0.0082           O2555  2  607 
        7.5         8.      8.019     0.0072     0.0068           O2555  2  608 
        7.5         8.     8.1401    -0.0055      0.009           O2555  2  609 
        7.5         8.      8.262     0.0027     0.0072           O2555  2  610 
        7.5         8.     8.3848    -0.0077     0.0038           O2555  2  611 
        7.5         8.     8.5085    -0.0078     0.0072           O2555  2  612 
        7.5         8.     8.6331    -0.0085     0.0072           O2555  2  613 
        7.5         8.     8.7585     0.0028      0.008           O2555  2  614 
        7.5         8.     8.8848    -0.0032         0.           O2555  2  615 
        7.5         8.      9.012    -0.0031     0.0095           O2555  2  616 
        7.5         8.       9.14     0.0096     0.0104           O2555  2  617 
        7.5         8.      9.269     0.0012     0.0081           O2555  2  618 
        7.5         8.     9.3987    -0.0148     0.0001           O2555  2  619 
        7.5         8.     9.5294    -0.0044         0.           O2555  2  620 
        7.5         8.     9.6609    -0.0021     0.0061           O2555  2  621 
        7.5         8.     9.7932     0.0028      0.008           O2555  2  622 
        7.5         8.     9.9265     0.0211     0.0124           O2555  2  623 
        7.5         8.    10.0606     0.0005     0.0044           O2555  2  624 
         8.        8.5     0.0962         0.     0.0103           O2555  2  625 
         8.        8.5     0.1256     0.2574     0.0982           O2555  2  626 
         8.        8.5     0.1559     0.3574     0.2301           O2555  2  627 
         8.        8.5      0.187     0.7488      0.225           O2555  2  628 
         8.        8.5      0.219      1.671     0.3809           O2555  2  629 
         8.        8.5     0.2518     1.8414     0.3644           O2555  2  630 
         8.        8.5     0.2855     1.7645     0.2725           O2555  2  631 
         8.        8.5     0.3201     3.1253     0.3769           O2555  2  632 
         8.        8.5     0.3555     5.8228     0.3782           O2555  2  633 
         8.        8.5     0.3917     4.4577     0.3515           O2555  2  634 
         8.        8.5     0.4289     4.7189     0.3651           O2555  2  635 
         8.        8.5     0.4669     6.2313     0.3573           O2555  2  636 
         8.        8.5     0.5057     4.9028     0.3354           O2555  2  637 
         8.        8.5     0.5454      5.083     0.3276           O2555  2  638 
         8.        8.5      0.586     5.3057      0.317           O2555  2  639 
         8.        8.5     0.6275     4.7474     0.2916           O2555  2  640 
         8.        8.5     0.6698     4.3738     0.2761           O2555  2  641 
         8.        8.5     0.7129     4.1202     0.2881           O2555  2  642 
         8.        8.5     0.7569     3.5213     0.2515           O2555  2  643 
         8.        8.5     0.8018     3.4088     0.2468           O2555  2  644 
         8.        8.5     0.8476     3.8645     0.2929           O2555  2  645 
         8.        8.5     0.8942     2.3277     0.2203           O2555  2  646 
         8.        8.5     0.9417     2.9188     0.2627           O2555  2  647 
         8.        8.5       0.99     1.9242     0.1988           O2555  2  648 
         8.        8.5     1.0392     1.5647     0.1799           O2555  2  649 
         8.        8.5     1.0893     2.8653     0.2255           O2555  2  650 
         8.        8.5     1.1402     2.5922     0.2148           O2555  2  651 
         8.        8.5      1.192      1.701     0.1737           O2555  2  652 
         8.        8.5     1.2447      2.307     0.2082           O2555  2  653 
         8.        8.5     1.2982     1.8345     0.1886           O2555  2  654 
         8.        8.5     1.3526     1.0839     0.1379           O2555  2  655 
         8.        8.5     1.4078     1.1415     0.1551           O2555  2  656 
         8.        8.5     1.4639     1.5787     0.1611           O2555  2  657 
         8.        8.5     1.5209     1.2293     0.1535           O2555  2  658 
         8.        8.5     1.5787      1.141     0.1537           O2555  2  659 
         8.        8.5     1.6374     0.9822     0.1408           O2555  2  660 
         8.        8.5      1.697     1.1283     0.1492           O2555  2  661 
         8.        8.5     1.7574      0.955     0.1348           O2555  2  662 
         8.        8.5     1.8187     0.7484     0.1229           O2555  2  663 
         8.        8.5     1.8809     0.9183     0.1271           O2555  2  664 
         8.        8.5     1.9439     0.4133     0.1037           O2555  2  665 
         8.        8.5     2.0078      0.795      0.125           O2555  2  666 
         8.        8.5     2.0726     0.9385     0.1298           O2555  2  667 
         8.        8.5     2.1382      0.553     0.1162           O2555  2  668 
         8.        8.5     2.2047     0.6267     0.1097           O2555  2  669 
         8.        8.5     2.2721     0.9274     0.1291           O2555  2  670 
         8.        8.5     2.3403     0.3296     0.0827           O2555  2  671 
         8.        8.5     2.4094      0.594     0.1026           O2555  2  672 
         8.        8.5     2.4793     0.7071      0.116           O2555  2  673 
         8.        8.5     2.5501     0.5968     0.1293           O2555  2  674 
         8.        8.5     2.6218     0.3666     0.0908           O2555  2  675 
         8.        8.5     2.6944     0.4794     0.0934           O2555  2  676 
         8.        8.5     2.7678      0.246     0.0802           O2555  2  677 
         8.        8.5     2.8421     0.3992     0.0968           O2555  2  678 
         8.        8.5     2.9172     0.4845     0.1003           O2555  2  679 
         8.        8.5     2.9932     0.3285     0.0861           O2555  2  680 
         8.        8.5     3.0701      0.343     0.0802           O2555  2  681 
         8.        8.5     3.1478     0.4619     0.0827           O2555  2  682 
         8.        8.5     3.2264     0.2654     0.0715           O2555  2  683 
         8.        8.5     3.3059     0.1358     0.0772           O2555  2  684 
         8.        8.5     3.3862     0.0437     0.0591           O2555  2  685 
         8.        8.5     3.4675     0.1476     0.0632           O2555  2  686 
         8.        8.5     3.5495     0.1918     0.0568           O2555  2  687 
         8.        8.5     3.6325     0.1171     0.0542           O2555  2  688 
         8.        8.5     3.7163     0.2073     0.0575           O2555  2  689 
         8.        8.5     3.8009     0.1812     0.0545           O2555  2  690 
         8.        8.5     3.8865      0.196     0.0616           O2555  2  691 
         8.        8.5     3.9729     0.1357     0.0527           O2555  2  692 
         8.        8.5     4.0602     0.1255     0.0493           O2555  2  693 
         8.        8.5     4.1483     0.1883      0.054           O2555  2  694 
         8.        8.5     4.2373      0.022     0.0314           O2555  2  695 
         8.        8.5     4.3272     0.0137     0.0368           O2555  2  696 
         8.        8.5     4.4179     0.0492     0.0429           O2555  2  697 
         8.        8.5     4.5095     0.1219     0.0521           O2555  2  698 
         8.        8.5      4.602     0.0275     0.0368           O2555  2  699 
         8.        8.5     4.6953     0.0206     0.0332           O2555  2  700 
         8.        8.5     4.7895     0.1212      0.041           O2555  2  701 
         8.        8.5     4.8846     0.1142     0.0399           O2555  2  702 
         8.        8.5     4.9806      0.102     0.0443           O2555  2  703 
         8.        8.5     5.0774     0.1498     0.0473           O2555  2  704 
         8.        8.5      5.175     0.0305     0.0326           O2555  2  705 
         8.        8.5     5.2736     0.0159     0.0302           O2555  2  706 
         8.        8.5      5.373    -0.0177     0.0324           O2555  2  707 
         8.        8.5     5.4733    -0.0221     0.0302           O2555  2  708 
         8.        8.5     5.5744    -0.0251     0.0377           O2555  2  709 
         8.        8.5     5.6764      0.008      0.033           O2555  2  710 
         8.        8.5     5.7793     0.0082     0.0322           O2555  2  711 
         8.        8.5      5.883     0.0173     0.0371           O2555  2  712 
