ENTRY            O0532   20010115                             0000O053200000001 
SUBENT        O0532001   20010115                             0000O053200100001 
BIB                 13         33                                 O053200100002 
TITLE      Precompound Emission in the Reaction 65-Cu(P,XN) And   O053200100003 
           The Nucleon-Nucleon Scattering Mechanism.              O053200100004 
AUTHOR     (Y.HOLLER, A.KAMINSKY, R.LANGKAU, W.SCOBEL, M.TRABANDT,O053200100005 
           R.BONETTI)                                             O053200100006 
INSTITUTE  (2GERHAM) 1. Institut Fuer Experimentalphysik,         O053200100007 
           Zyklotron                                              O053200100008 
           (2ITYMIL) Istituto Di Fisica Generale Applicata.       O053200100009 
REFERENCE  (J,NP/A,442,79,1985)                                   O053200100010 
           (W,SCOBEL,19870116) Data Tables For Double DifferentialO053200100011 
           Cross Sections.                                        O053200100012 
REL-REF    (N,,Y.HOLLER+,J,NIM/A,235,123,1985) Hycalc Code to     O053200100013 
           Calculate Detector Efficiency and the Neutron          O053200100014 
           Time-Of-Flight Facility at the Hamburg Isochronus      O053200100015 
           Cyclotron.                                             O053200100016 
SAMPLE     Isotopically Enriched (>99.7%) Metallic 65-Cu Foils of O053200100017 
           13.6 milligramm/cm-sq and 5.0 milligramm/cm-sq.        O053200100018 
FACILITY   (ISOCY,2GERHAM)                                        O053200100019 
METHOD     (EXTB)                                                 O053200100020 
           (TOF)  Flight Paths Between 7 and 8 Meters Lenght.     O053200100021 
           (BCINT)                                                O053200100022 
PART-DET   (N)                                                    O053200100023 
DETECTOR   (SCIN) Liquid Scintillator Ne213.                      O053200100024 
ADD-RES    (COMP) Preequilibrium Model.                           O053200100025 
COMMENT    - By Authors - Neutron Energy Spectra in the C.M.      O053200100026 
           System were Obtained by Application of Detector        O053200100027 
           Efficiencies As Calculated with the Code Hycalc and    O053200100028 
           Kinematic Transformations Assuming Single-Particle     O053200100029 
           Emission.                                              O053200100030 
HISTORY    (19990730C) By F.C.                                    O053200100031 
           (19991117A) Date is Corrected                          O053200100032 
           (20001125A) Subentry O0532002 has Been Corrected       O053200100033 
           According to O.Schwerer'S Remarks.                     O053200100034 
           (20010115U) Last checking has been done.               O053200100035 
ENDBIB              33          0                                 O053200100036 
COMMON               1          3                                 O053200100037 
EN                                                                O053200100038 
MEV                                                               O053200100039 
       26.7                                                       O053200100040 
ENDCOMMON            3          0                                 O053200100041 
ENDSUBENT           40          0                                 O053200199999 
SUBENT        O0532002   20010115                             0000O053200200001 
BIB                  5         18                                 O053200200002 
REACTION   (29-CU-65(P,X)0-NN-1,,DA/DE)                           O053200200003 
EN-SEC     (E-CM,N)                                               O053200200004 
ERR-ANALYS (ERR-S) High Limit of Statistical Error.               O053200200005 
           (ERR-1) Relative Uncertainty Between Neutron Spectra   O053200200006 
           Obtained Under Different Angles Due to Target          O053200200007 
           Inhomogenetieties.                                     O053200200008 
           (ERR-2) Relative Uncertainty Between Neutron Spectra   O053200200009 
           Obtained Under Different Angles Due to TinconsistenciesO053200200010 
           In the Background Treatment.                           O053200200011 
           (ERR-3)  Relative  Uncertainty  Between Neutron SpectraO053200200012 
           Obtained Under Different Angles Due to Incomplete Beam O053200200013 
           Current Integration.                                   O053200200014 
           (ERR-4) The Estimated Error Margin For All Angles and  O053200200015 
           All But the Highest Neutron Energies.                  O053200200016 
           (ERR-T) High Limit of Absolute Uncertainty For Most of O053200200017 
           The Double Differential Cross Section.                 O053200200018 
STATUS     (TABLE) From W. Scobel.                                O053200200019 
MISC-COL   (MISC) Precompound Cross Section                       O053200200020 
ENDBIB              18          0                                 O053200200021 
COMMON               5          3                                 O053200200022 
ERR-1      ERR-2      ERR-3      ERR-4      ERR-T                 O053200200023 
       20.8        9.1        1.5     0.0288         4.           O053200200836 
       20.8        9.2       1.43     0.0295         4.           O053200200837 
       20.8        9.3       1.34     0.0309         4.           O053200200838 
       20.8        9.4       1.29     0.0291         4.           O053200200839 
       20.8        9.5       1.29     0.0297         4.           O053200200840 
       20.8        9.6       1.27     0.0282         4.           O053200200841 
       20.8        9.7       1.19     0.0297         4.           O053200200842 
       20.8        9.8       1.14     0.0264         4.           O053200200843 
       20.8        9.9       1.14     0.0266         4.           O053200200844 
       20.8        10.        1.2     0.0271         4.           O053200200845 
       20.8       10.1       1.19     0.0263         4.           O053200200846 
       20.8       10.2       1.13     0.0274         4.           O053200200847 
       20.8       10.3       1.09     0.0246         4.           O053200200848 
       20.8       10.4       1.08     0.0271         4.           O053200200849 
       20.8       10.5       1.14     0.0249         4.           O053200200850 
       20.8       10.6       1.12     0.0285         4.           O053200200851 
       20.8       10.7       1.05     0.0245         4.           O053200200852 
       20.8       10.8       1.03     0.0287         4.           O053200200853 
       20.8       10.9       1.03      0.024         4.           O053200200854 
       20.8        11.       1.01     0.0288         4.           O053200200855 
       20.8       11.1       1.03     0.0253         4.           O053200200856 
       20.8       11.2      0.973      0.027         4.           O053200200857 
       20.8       11.3      0.966     0.0259         4.           O053200200858 
       20.8       11.4      0.967     0.0231         4.           O053200200859 
       20.8       11.5      0.922     0.0238         4.           O053200200860 
       20.8       11.6       0.91     0.0233         4.           O053200200861 
       20.8       11.7      0.934     0.0262         4.           O053200200862 
       20.8       11.8      0.948     0.0218         4.           O053200200863 
       20.8       11.9      0.933     0.0268         4.           O053200200864 
       20.8        12.      0.913     0.0232         4.           O053200200865 
       20.8       12.1      0.895     0.0243         4.           O053200200866 
       20.8       12.2      0.877     0.0227         4.           O053200200867 
       20.8       12.3      0.871     0.0222         4.           O053200200868 
       20.8       12.4      0.899     0.0254         4.           O053200200869 
       20.8       12.5      0.914      0.024         4.           O053200200870 
       20.8       12.6      0.904     0.0283         4.           O053200200871 
       20.8       12.7      0.874      0.024         4.           O053200200872 
       20.8       12.8      0.868     0.0205         4.           O053200200873 
       20.8       12.9      0.845     0.0217         4.           O053200200874 
       20.8        13.      0.824       0.02         4.           O053200200875 
       20.8       13.1      0.828     0.0214         4.           O053200200876 
       20.8       13.2      0.845      0.021         4.           O053200200877 
       20.8       13.3      0.846     0.0213         4.           O053200200878 
       20.8       13.4      0.819     0.0232         4.           O053200200879 
       20.8       13.5      0.777     0.0207         4.           O053200200880 
       20.8       13.6      0.775     0.0223         4.           O053200200881 
       20.8       13.7      0.798     0.0234         4.           O053200200882 
       20.8       13.8        0.8     0.0209         4.           O053200200883 
       20.8       13.9      0.757     0.0222         4.           O053200200884 
       20.8        14.      0.738     0.0211         4.           O053200200885 
       20.8       14.1      0.752     0.0191         4.           O053200200886 
       20.8       14.2      0.736     0.0202         4.           O053200200887 
       20.8       14.3      0.718     0.0187         4.           O053200200888 
       20.8       14.4      0.725      0.017         4.           O053200200889 
       20.8       14.5      0.757     0.0185         4.           O053200200890 
       20.8       14.6      0.797     0.0202         4.           O053200200891 
       20.8       14.7      0.813     0.0186         4.           O053200200892 
       20.8       14.8      0.821     0.0225         4.           O053200200893 
       20.8       14.9      0.845     0.0281         4.           O053200200894 
       20.8        15.      0.843      0.023         4.           O053200200895 
       20.8       15.1      0.822     0.0228        10.           O053200200896 
       20.8       15.2      0.764     0.0206        10.           O053200200897 
       20.8       15.3      0.714     0.0168        10.           O053200200898 
       20.8       15.4      0.685     0.0154        10.           O053200200899 
       20.8       15.5      0.662     0.0215        10.           O053200200900 
       20.8       15.6      0.627     0.0232        10.           O053200200901 
       20.8       15.7      0.662     0.0177        10.           O053200200902 
       20.8       15.8      0.716      0.019        10.           O053200200903 
       20.8       15.9         1.     0.0207        10.           O053200200904 
       20.8        16.       1.44     0.0269        10.           O053200200905 
       20.8       16.1       1.81     0.0295        10.           O053200200906 
       20.8       16.2       2.36     0.0423        10.           O053200200907 
       20.8       16.3       2.05     0.0273        10.           O053200200908 
       20.8       16.4       1.72     0.0244        10.           O053200200909 
       20.8       16.5       1.48     0.0287        10.           O053200200910 
       20.8       16.6       1.06     0.0298        10.           O053200200911 
       20.8       16.7      0.858     0.0166        10.           O053200200912 
       20.8       16.8      0.722     0.0153        10.           O053200200913 
       20.8       16.9      0.635     0.0197        10.           O053200200914 
       20.8        17.      0.559     0.0205        10.           O053200200915 
       20.8       17.1      0.541     0.0133        10.           O053200200916 
       20.8       17.2      0.325     0.0144        10.           O053200200917 
       20.8       17.3      0.506     0.0178        10.           O053200200918 
       20.8       17.4      0.486     0.0161        10.           O053200200919 
       20.8       17.5      0.481     0.0142        10.           O053200200920 
       20.8       17.6      0.483     0.0155        10.           O053200200921 
       20.8       17.7      0.502     0.0165        10.           O053200200922 
       20.8       17.8      0.555      0.017        10.           O053200200923 
       20.8       17.9      0.604     0.0218        10.           O053200200924 
       20.8        18.      0.619     0.0175        10.           O053200200925 
       20.8       18.1      0.618     0.0189        10.           O053200200926 
       20.8       18.2      0.586     0.0255        10.           O053200200927 
       20.8       18.3      0.507     0.0225        10.           O053200200928 
       20.8       18.4      0.448     0.0178        10.           O053200200929 
       20.8       18.5      0.387     0.0194        10.           O053200200930 
       20.8       18.6      0.354     0.0188        10.           O053200200931 
       20.8       18.7      0.355     0.0179        10.           O053200200932 
       20.8       18.8      0.365     0.0155        10.           O053200200933 
       20.8       18.9      0.373     0.0117        10.           O053200200934 
       20.8        19.      0.372     0.0147        10.           O053200200935 
       20.8       19.1      0.365     0.0144        10.           O053200200936 
       20.8       19.2      0.355     0.0134        10.           O053200200937 
       20.8       19.3      0.352     0.0124        10.           O053200200938 
       20.8       19.4      0.354     0.0104        10.           O053200200939 
       20.8       19.5       0.36     0.0138        10.           O053200200940 
       20.8       19.6      0.364     0.0133        10.           O053200200941 
       20.8       19.7      0.366      0.013        10.           O053200200942 
       20.8       19.8      0.371     0.0114        10.           O053200200943 
       20.8       19.9      0.375     0.0113        10.           O053200200944 
       20.8        20.      0.395      0.015        10.           O053200200945 
       20.8       20.1      0.407     0.0148        10.           O053200200946 
       20.8       20.2       0.41     0.0141        10.           O053200200947 
       20.8       20.3      0.408     0.0113        10.           O053200200948 
       20.8       20.4      0.405     0.0124        10.           O053200200949 
       20.8       20.5      0.398     0.0119        10.           O053200200950 
       20.8       20.6      0.392     0.0152        10.           O053200200951 
       20.8       20.7      0.361     0.0116        10.           O053200200952 
       20.8       20.8      0.342     0.0115        10.           O053200200953 
       20.8       20.9      0.319     0.0115        10.           O053200200954 
       20.8        21.      0.311      0.012        10.           O053200200955 
       20.8       21.1      0.277     0.0135        10.           O053200200956 
       20.8       21.2      0.265     0.0124        10.           O053200200957 
       20.8       21.3      0.229    0.00973        10.           O053200200958 
       20.8       21.4      0.218    0.00803        10.           O053200200959 
       20.8       21.5      0.195     0.0102        10.           O053200200960 
       20.8       21.6      0.183    0.00865        10.           O053200200961 
       20.8       21.7      0.148     0.0102        10.           O053200200962 
       20.8       21.8      0.143    0.00822        10.           O053200200963 
       20.8       21.9      0.138    0.00743        10.           O053200200964 
       20.8        22.      0.136    0.00614        10.           O053200200965 
       20.8       22.1      0.133    0.00928        10.           O053200200966 
       20.8       22.2      0.128    0.00783        10.           O053200200967 
       20.8       22.3      0.112    0.00936        10.           O053200200968 
       20.8       22.4      0.112    0.00824        10.           O053200200969 
       20.8       22.5      0.114     0.0068        10.           O053200200970 
       20.8       22.6      0.114     0.0068        10.           O053200200971 
       20.8       22.7      0.115    0.00885        10.           O053200200972 
       20.8       22.8      0.113    0.00869        10.           O053200200973 
       20.8       22.9     0.0952    0.00746        10.           O053200200974 
       20.8        23.     0.0938    0.00775        10.           O053200200975 
       20.8       23.1      0.099    0.00531        10.           O053200200976 
       20.8       23.2      0.101     0.0062        10.           O053200200977 
       20.8       23.3      0.107    0.00624        10.           O053200200978 
       20.8       23.4      0.109     0.0084        10.           O053200200979 
       20.8       23.5     0.0956     0.0066        10.           O053200200980 
       20.8       23.6     0.0788    0.00729        10.           O053200200981 
       20.8       23.7     0.0731    0.00639        10.           O053200200982 
       20.8       23.8     0.0592    0.00518        10.           O053200200983 
       20.8       23.9      0.054    0.00502        10.           O053200200984 
       20.8        24.     0.0386    0.00484        10.           O053200200985 
       20.8       24.1     0.0346    0.00495        10.           O053200200986 
       20.8       24.2     0.0321    0.00395        10.           O053200200987 
       20.8       24.3     0.0299    0.00447        10.           O053200200988 
       20.8       24.4     0.0264    0.00385        10.           O053200200989 
       20.8       24.5     0.0214    0.00358        10.           O053200200990 
       20.8       24.6     0.0181    0.00337        10.           O053200200991 
       20.8       24.7     0.0116    0.00329        10.           O053200200992 
       20.8       24.8    0.00884    0.00325        10.           O053200200993 
       20.8       24.9    0.00501    0.00249        10.           O053200200994 
       20.8        25.    0.00206    0.00244        10.           O053200200995 
       20.8       25.1    0.00153    0.00229        10.           O053200200996 
       20.8       25.2    0.00081    0.00219        10.           O053200200997 
       20.8       25.3    0.00111    0.00204        10.           O053200200998 
       20.8       25.4    0.00197    0.00229        10.           O053200200999 
       20.8       25.5    0.00246    0.00283        10.           O053200201000 
       20.8       25.6    0.00082    0.00238        10.           O053200201001 
       20.8       25.7    0.00422    0.00204        10.           O053200201002 
       27.1        1.5       17.4       2.35         1.           O053200201003 
       27.1        1.6       18.2       1.64         1.           O053200201004 
       27.1        1.7       18.3       1.05         1.           O053200201005 
       27.1        1.8       18.2      0.804         1.           O053200201006 
       27.1        1.9       18.1      0.659         1.           O053200201007 
       27.1         2.       17.7      0.506         1.           O053200201008 
       27.1        2.1       17.3      0.397         1.           O053200201009 
       27.1        2.2       16.9      0.324         1.           O053200201010 
       27.1        2.3       16.5      0.269         1.           O053200201011 
       27.1        2.4       16.1      0.228         1.           O053200201012 
       27.1        2.5       15.6      0.199         1.           O053200201013 
       27.1        2.6       15.1      0.174         1.           O053200201014 
       27.1        2.7       14.4      0.151         1.           O053200201015 
       27.1        2.8        14.      0.134         1.           O053200201016 
       27.1        2.9       13.5      0.123         1.           O053200201017 
       27.1         3.       12.9      0.112         1.           O053200201018 
       27.1        3.1       12.4      0.103         1.           O053200201019 
       27.1        3.2       11.8     0.0938         1.           O053200201020 
       27.1        3.3       11.3     0.0863         1.           O053200201021 
       27.1        3.4       10.9      0.081         1.           O053200201022 
       27.1        3.5       10.5      0.077         1.           O053200201023 
       27.1        3.6        10.     0.0719         1.           O053200201024 
       27.1        3.7       9.53     0.0672         1.           O053200201025 
       27.1        3.8       9.15     0.0642         1.           O053200201026 
       27.1        3.9       8.87     0.0618         1.           O053200201027 
       27.1         4.        8.6     0.0598         1.           O053200201028 
       27.1        4.1       8.22     0.0571         1.           O053200201029 
       27.1        4.2       7.86     0.0549         1.           O053200201030 
       27.1        4.3       7.68     0.0529         1.           O053200201031 
       27.1        4.4        7.5     0.0519         1.           O053200201032 
       27.1        4.5       7.11     0.0487         1.           O053200201033 
       27.1        4.6       6.83     0.0462         1.           O053200201034 
       27.1        4.7       6.56     0.0453         1.           O053200201035 
       27.1        4.8        6.2     0.0448         1.           O053200201036 
       27.1        4.9       5.86     0.0423         1.           O053200201037 
       27.1         5.       5.64     0.0417         1.           O053200201038 
       27.1        5.1       5.43     0.0396         1.           O053200201039 
       27.1        5.2        5.2     0.0394         1.           O053200201040 
       27.1        5.3       4.99     0.0387         1.           O053200201041 
       27.1        5.4       4.74     0.0383         1.           O053200201042 
       27.1        5.5        4.6     0.0361         1.           O053200201043 
       27.1        5.6       4.33     0.0348         1.           O053200201044 
       27.1        5.7       4.15     0.0344         1.           O053200201045 
       27.1        5.8       4.03     0.0341         1.           O053200201046 
       27.1        5.9       3.87     0.0332         1.           O053200201047 
       27.1         6.       3.76     0.0332         1.           O053200201048 
       27.1        6.1        3.7     0.0333         4.           O053200201049 
       27.1        6.2       3.52     0.0315         4.           O053200201050 
       27.1        6.3       3.34     0.0301         4.           O053200201051 
       27.1        6.4       3.27     0.0302         4.           O053200201052 
       27.1        6.5        3.2     0.0303         4.           O053200201053 
       27.1        6.6       3.06     0.0297         4.           O053200201054 
       27.1        6.7       2.94      0.029         4.           O053200201055 
       27.1        6.8       2.83     0.0286         4.           O053200201056 
       27.1        6.9       2.71     0.0288         4.           O053200201057 
       27.1         7.       2.64     0.0281         4.           O053200201058 
       27.1        7.1       2.59     0.0265         4.           O053200201059 
       27.1        7.2       2.49     0.0265         4.           O053200201060 
       27.1        7.3       2.37     0.0257         4.           O053200201061 
       27.1        7.4       2.31     0.0252         4.           O053200201062 
       27.1        7.5       2.17     0.0261         4.           O053200201063 
       27.1        7.6       2.08     0.0251         4.           O053200201064 
       27.1        7.7       2.03     0.0254         4.           O053200201065 
       27.1        7.8       1.99     0.0234         4.           O053200201066 
       27.1        7.9       1.91      0.022         4.           O053200201067 
       27.1         8.       1.95     0.0242         4.           O053200201068 
       27.1        8.1       1.83     0.0252         4.           O053200201069 
       27.1        8.2       1.79     0.0222         4.           O053200201070 
       27.1        8.3       1.79     0.0206         4.           O053200201071 
       27.1        8.4       1.74     0.0217         4.           O053200201072 
       27.1        8.5       1.69     0.0221         4.           O053200201073 
       27.1        8.6       1.63     0.0198         4.           O053200201074 
       27.1        8.7       1.56     0.0199         4.           O053200201075 
       27.1        8.8       1.55     0.0212         4.           O053200201076 
       27.1        8.9       1.51     0.0194         4.           O053200201077 
       27.1         9.       1.48       0.02         4.           O053200201078 
       27.1        9.1       1.45     0.0219         4.           O053200201079 
       27.1        9.2        1.4     0.0203         4.           O053200201080 
       27.1        9.3       1.36     0.0203         4.           O053200201081 
       27.1        9.4       1.34      0.019         4.           O053200201082 
       27.1        9.5       1.32     0.0188         4.           O053200201083 
       27.1        9.6        1.3     0.0202         4.           O053200201084 
       27.1        9.7       1.24     0.0182         4.           O053200201085 
       27.1        9.8       1.23     0.0192         4.           O053200201086 
       27.1        9.9       1.21     0.0193         4.           O053200201087 
       27.1        10.       1.17      0.019         4.           O053200201088 
       27.1       10.1       1.14     0.0187         4.           O053200201089 
       27.1       10.2       1.16     0.0189         4.           O053200201090 
       27.1       10.3       1.13     0.0185         4.           O053200201091 
       27.1       10.4        1.1     0.0185         4.           O053200201092 
       27.1       10.5       1.08     0.0179         4.           O053200201093 
       27.1       10.6       1.08     0.0183         4.           O053200201094 
       27.1       10.7       1.06     0.0173         4.           O053200201095 
       27.1       10.8       1.02      0.018         4.           O053200201096 
       27.1       10.9       1.02      0.017         4.           O053200201097 
       27.1        11.       1.03     0.0174         4.           O053200201098 
       27.1       11.1         1.      0.016         4.           O053200201099 
       27.1       11.2      0.976     0.0169         4.           O053200201100 
       27.1       11.3      0.969     0.0157         4.           O053200201101 
       27.1       11.4      0.957     0.0184         4.           O053200201102 
       27.1       11.5      0.961     0.0168         4.           O053200201103 
       27.1       11.6       0.92     0.0164         4.           O053200201104 
       27.1       11.7      0.904     0.0169         4.           O053200201105 
       27.1       11.8      0.898     0.0162         4.           O053200201106 
       27.1       11.9      0.888      0.016         4.           O053200201107 
       27.1        12.       0.89     0.0147         4.           O053200201108 
       27.1       12.1      0.922     0.0191         4.           O053200201109 
       27.1       12.2      0.902      0.016         4.           O053200201110 
       27.1       12.3      0.882     0.0163         4.           O053200201111 
       27.1       12.4      0.861     0.0152         4.           O053200201112 
       27.1       12.5      0.849     0.0138         4.           O053200201113 
       27.1       12.6      0.871     0.0164         4.           O053200201114 
       27.1       12.7      0.849     0.0143         4.           O053200201115 
       27.1       12.8      0.813     0.0184         4.           O053200201116 
       27.1       12.9      0.791     0.0179         4.           O053200201117 
       27.1        13.      0.764     0.0136         4.           O053200201118 
       27.1       13.1      0.751     0.0154         4.           O053200201119 
       27.1       13.2      0.743     0.0138         4.           O053200201120 
       27.1       13.3      0.752     0.0126         4.           O053200201121 
       27.1       13.4      0.749     0.0139         4.           O053200201122 
       27.1       13.5      0.742     0.0125         4.           O053200201123 
       27.1       13.6      0.739     0.0128         4.           O053200201124 
       27.1       13.7      0.732     0.0132         4.           O053200201125 
       27.1       13.8      0.718     0.0121         4.           O053200201126 
       27.1       13.9      0.703     0.0126         4.           O053200201127 
       27.1        14.      0.688     0.0126         4.           O053200201128 
       27.1       14.1      0.682     0.0117         4.           O053200201129 
       27.1       14.2      0.688     0.0128         4.           O053200201130 
       27.1       14.3      0.692     0.0133         4.           O053200201131 
       27.1       14.4        0.7     0.0127         4.           O053200201132 
       27.1       14.5      0.743     0.0156         4.           O053200201133 
       27.1       14.6      0.776      0.017         4.           O053200201134 
       27.1       14.7      0.767     0.0161         4.           O053200201135 
       27.1       14.8      0.761     0.0173         4.           O053200201136 
       27.1       14.9      0.759     0.0147         4.           O053200201137 
       27.1        15.      0.758     0.0121         4.           O053200201138 
       27.1       15.1      0.737     0.0123        10.           O053200201139 
       27.1       15.2        0.7     0.0125        10.           O053200201140 
       27.1       15.3      0.681     0.0122        10.           O053200201141 
       27.1       15.4      0.677     0.0144        10.           O053200201142 
       27.1       15.5      0.651     0.0157        10.           O053200201143 
       27.1       15.6      0.633     0.0123        10.           O053200201144 
       27.1       15.7      0.646     0.0105        10.           O053200201145 
       27.1       15.8      0.709     0.0121        10.           O053200201146 
       27.1       15.9      0.859     0.0159        10.           O053200201147 
       27.1        16.       1.07     0.0171        10.           O053200201148 
       27.1       16.1       1.28     0.0187        10.           O053200201149 
       27.1       16.2       1.31     0.0171        10.           O053200201150 
       27.1       16.3       1.21      0.016        10.           O053200201151 
       27.1       16.4        1.1     0.0166        10.           O053200201152 
       27.1       16.5      0.934     0.0177        10.           O053200201153 
       27.1       16.6      0.784     0.0132        10.           O053200201154 
       27.1       16.7      0.671     0.0111        10.           O053200201155 
       27.1       16.8      0.596     0.0123        10.           O053200201156 
       27.1       16.9      0.533     0.0135        10.           O053200201157 
       27.1        17.      0.516     0.0102        10.           O053200201158 
       27.1       17.1      0.515    0.00995        10.           O053200201159 
       27.1       17.2      0.512      0.012        10.           O053200201160 
       27.1       17.3      0.513     0.0119        10.           O053200201161 
       27.1       17.4      0.512     0.0104        10.           O053200201162 
       27.1       17.5      0.509     0.0113        10.           O053200201163 
       27.1       17.6      0.498      0.012        10.           O053200201164 
       27.1       17.7      0.485    0.00971        10.           O053200201165 
       27.1       17.8      0.473     0.0135        10.           O053200201166 
       27.1       17.9      0.502     0.0109        10.           O053200201167 
       27.1        18.      0.511    0.00859        10.           O053200201168 
       27.1       18.1      0.518     0.0124        10.           O053200201169 
       27.1       18.2      0.521     0.0135        10.           O053200201170 
       27.1       18.3      0.524    0.00866        10.           O053200201171 
       27.1       18.4      0.525     0.0106        10.           O053200201172 
       27.1       18.5      0.527     0.0124        10.           O053200201173 
       27.1       18.6      0.522    0.00966        10.           O053200201174 
       27.1       18.7      0.512     0.0125        10.           O053200201175 
       27.1       18.8      0.463    0.00826        10.           O053200201176 
       27.1       18.9      0.433    0.00826        10.           O053200201177 
       27.1        19.      0.387     0.0107        10.           O053200201178 
       27.1       19.1      0.356    0.00809        10.           O053200201179 
       27.1       19.2       0.34    0.00976        10.           O053200201180 
       27.1       19.3      0.343    0.00783        10.           O053200201181 
       27.1       19.4      0.345    0.00753        10.           O053200201182 
       27.1       19.5       0.35       0.01        10.           O053200201183 
       27.1       19.6       0.35    0.00811        10.           O053200201184 
       27.1       19.7      0.351    0.00942        10.           O053200201185 
       27.1       19.8      0.358    0.00774        10.           O053200201186 
       27.1       19.9      0.364    0.00835        10.           O053200201187 
       27.1        20.      0.373     0.0102        10.           O053200201188 
       27.1       20.1      0.375     0.0085        10.           O053200201189 
       27.1       20.2      0.375    0.00905        10.           O053200201190 
       27.1       20.3      0.371     0.0077        10.           O053200201191 
       27.1       20.4      0.368    0.00945        10.           O053200201192 
       27.1       20.5      0.366     0.0102        10.           O053200201193 
       27.1       20.6      0.358    0.00974        10.           O053200201194 
       27.1       20.7      0.345    0.00831        10.           O053200201195 
       27.1       20.8      0.332    0.00784        10.           O053200201196 
       27.1       20.9       0.31     0.0077        10.           O053200201197 
       27.1        21.       0.28     0.0079        10.           O053200201198 
       27.1       21.1      0.252    0.00774        10.           O053200201199 
       27.1       21.2      0.232    0.00646        10.           O053200201200 
       27.1       21.3      0.215    0.00609        10.           O053200201201 
       27.1       21.4      0.201    0.00628        10.           O053200201202 
       27.1       21.5      0.178    0.00621        10.           O053200201203 
       27.1       21.6      0.155    0.00638        10.           O053200201204 
       27.1       21.7      0.141    0.00551        10.           O053200201205 
       27.1       21.8      0.133    0.00486        10.           O053200201206 
       27.1       21.9      0.128    0.00488        10.           O053200201207 
       27.1        22.      0.124    0.00558        10.           O053200201208 
       27.1       22.1      0.118    0.00522        10.           O053200201209 
       27.1       22.2      0.112    0.00567        10.           O053200201210 
       27.1       22.3      0.101    0.00442        10.           O053200201211 
       27.1       22.4      0.091      0.004        10.           O053200201212 
       27.1       22.5     0.0828    0.00359        10.           O053200201213 
       27.1       22.6     0.0759    0.00439        10.           O053200201214 
       27.1       22.7     0.0746    0.00386        10.           O053200201215 
       27.1       22.8     0.0755    0.00461        10.           O053200201216 
       27.1       22.9     0.0781    0.00396        10.           O053200201217 
       27.1        23.     0.0838    0.00403        10.           O053200201218 
       27.1       23.1     0.0862     0.0037        10.           O053200201219 
       27.1       23.2     0.0917    0.00511        10.           O053200201220 
       27.1       23.3     0.0928    0.00549        10.           O053200201221 
       27.1       23.4     0.0924    0.00533        10.           O053200201222 
       27.1       23.5     0.0922    0.00536        10.           O053200201223 
       27.1       23.6     0.0743    0.00341        10.           O053200201224 
       27.1       23.7     0.0655    0.00357        10.           O053200201225 
       27.1       23.8     0.0514    0.00271        10.           O053200201226 
       27.1       23.9     0.0367    0.00354        10.           O053200201227 
       27.1        24.     0.0348    0.00299        10.           O053200201228 
       27.1       24.1     0.0335    0.00334        10.           O053200201229 
       27.1       24.2     0.0334    0.00337        10.           O053200201230 
       27.1       24.3      0.028    0.00241        10.           O053200201231 
       27.1       24.4     0.0271    0.00257        10.           O053200201232 
       27.1       24.5     0.0217    0.00206        10.           O053200201233 
       27.1       24.6     0.0173    0.00305        10.           O053200201234 
       27.1       24.7     0.0142    0.00251        10.           O053200201235 
       27.1       24.8    0.00107    0.00155        10.           O053200201236 
       27.1       24.9    0.00102    0.00153        10.           O053200201237 
       27.1        25.    0.00018    0.00112        10.           O053200201238 
       27.1       25.1   -0.00006    0.00134        10.           O053200201239 
       27.1       25.2    0.00019    0.00118        10.           O053200201240 
       27.1       25.3    0.00066    0.00189        10.           O053200201241 
       27.1       25.4    0.00055    0.00182        10.           O053200201242 
       27.1       25.5   -0.00024    0.00138        10.           O053200201243 
       27.1       25.6   -0.00034    0.00155        10.           O053200201244 
       27.1       25.7    0.00029    0.00129        10.           O053200201245 
       33.4        1.4       15.2       2.02         1.           O053200201246 
       33.4        1.5       16.6       1.64         1.           O053200201247 
       33.4        1.6       17.2       1.07         1.           O053200201248 
       33.4        1.7       17.1      0.818         1.           O053200201249 
       33.4        1.8       16.7       0.65         1.           O053200201250 
       33.4        1.9       16.5      0.508         1.           O053200201251 
       33.4         2.       16.1      0.398         1.           O053200201252 
       33.4        2.1       15.9      0.327         1.           O053200201253 
       33.4        2.2       15.6      0.271         1.           O053200201254 
       33.4        2.3       14.9      0.225         1.           O053200201255 
       33.4        2.4       14.7      0.197         1.           O053200201256 
       33.4        2.5       14.1      0.177         1.           O053200201257 
       33.4        2.6       13.5      0.157         1.           O053200201258 
       33.4        2.7       12.7      0.141         1.           O053200201259 
       33.4        2.8       12.5      0.131         1.           O053200201260 
       33.4        2.9       12.1      0.122         1.           O053200201261 
       33.4         3.       11.6      0.114         1.           O053200201262 
       33.4        3.1       11.2      0.107         1.           O053200201263 
       33.4        3.2       10.6     0.0996         1.           O053200201264 
       33.4        3.3       10.1      0.094         1.           O053200201265 
       33.4        3.4       9.93     0.0912         1.           O053200201266 
       33.4        3.5       9.49     0.0874         1.           O053200201267 
       33.4        3.6       9.07     0.0836         1.           O053200201268 
       33.4        3.7       8.77     0.0797         1.           O053200201269 
       33.4        3.8       8.38     0.0766         1.           O053200201270 
       33.4        3.9       7.97      0.075         1.           O053200201271 
