17.90      0.03       20.        3.6        0.3                   O189900200178 
17.90      0.03       39.        3.4        0.2                   O189900200179 
18.456     0.009      10.        25.9       0.5                   O189900200180 
18.456     0.009      20.        17.6       0.5                   O189900200181 
18.456     0.009      39.        14.6       0.3                   O189900200182 
18.610     0.010      10.        26.9       0.5                   O189900200183 
18.610     0.010      20.        28.9       0.7                   O189900200184 
18.610     0.010      39.        11.8       0.3                   O189900200185 
18.84      0.05       10.        11.2       0.3                   O189900200186 
18.84      0.05       20.        7.9        0.4                   O189900200187 
18.84      0.05       39.        6.4        0.2                   O189900200188 
19.25      0.010      10.        28.7       0.5                   O189900200189 
19.25      0.010      39.        14.2       0.3                   O189900200190 
20.03      0.01       39.        3.7        0.2                   O189900200191 
ENDDATA            184          0                                 O189900200192 
ENDSUBENT          191          0                                 O189900299999 
ENDENTRY             2          0                                 O189999999999 
