ENTRY            O1876   20120613                             O048O187600000001 
SUBENT        O1876001   20120613                             O048O187600100001 
BIB                 10         30                                 O187600100002 
TITLE      Differential cross sections for the B-11(p,a)Be-8 and  O187600100003 
           B-11(p,p)B-11 reactions, suitable for ion beam analysisO187600100004 
AUTHOR     (M.Kokkoris, A.Kafkarkou, V.Paneta, R.Vlastou,         O187600100005 
           P.Misaelides, A.Lagoyannis)                            O187600100006 
INSTITUTE  (2GRCTUA)                                              O187600100007 
           (2GRCARU)                                              O187600100008 
           (2GRCATH)                                              O187600100009 
REFERENCE  (J,NIM/B,268,3539,2010)                                O187600100010 
FACILITY   (VDGT,2GRCATH) 5.5 MV TN11 Tandem Accelerator of       O187600100011 
           N.C.S.R. 'Demokritos', Athens, Greece                  O187600100012 
SAMPLE     (5-B-11,ENR=0.99) A highly pure (>99.9%),isotopically  O187600100013 
           enriched, approx.99%, B-11 target deposited on a mirrorO187600100014 
           polished  thick tantalum backing was used for the      O187600100015 
           experiments. The target  had an active surface of      O187600100016 
           1*1 cm**2, and the nominal thickness was reported      O187600100017 
                                          as 323 mug/cm**22.      O187600100018 
DETECTOR   (SIBAR) The detection system consisted of four Si      O187600100019 
           surface barrier detectors (Thickness: 1000 mum,        O187600100020 
           set at 10 ang. intervals) along with the               O187600100021 
           corresponding electronics.                             O187600100022 
ERR-ANALYS (ERR-T).The total estimated error is reported by authorO187600100023 
           in tables-varied between 3-4% (pending on the detector)O187600100024 
           The statistical error from peak integration also variedO187600100025 
           between approx.1-5%.                                   O187600100026 
           (ERR-1,,3.5).The error in target thickness.            O187600100027 
           (EN-ERR).The error is reported by authors in tables.   O187600100028 
STATUS     (TABLE).Table 1,2 of J,NIM/B,268,3539,2010             O187600100029 
HISTORY    (20101208C) SB                                         O187600100030 
           (20120613A) SD: SF5=PAR was added to REACTION code in  O187600100031 
            and E-LVL=0 was added to COMMON in Subent 3           O187600100032 
ENDBIB              30          0                                 O187600100033 
NOCOMMON             0          0                                 O187600100034 
ENDSUBENT           33          0                                 O187600199999 
SUBENT        O1876002   20101209                             O044O187600200001 
BIB                  4          8                                 O187600200002 
REACTION   (5-B-11(P,EL)5-B-11,,DA)                               O187600200003 
STATUS     (TABLE).TABLE 1 of J,NIM/B,268,3539,2010               O187600200004 
REL-REF    (A,O0922002,M.Chiari+,J,NIM/B,184,309,2001)            O187600200005 
ERR-ANALYS (ERR-S,4.0,5.0).The combined statistical errors,       O187600200006 
           varying between 4-5%, pending on the detector/angle    O187600200007 
           combination, included uncertainties in the product     O187600200008 
           Q*Omega and in peak integration, including counting    O187600200009 
           statistics and background subtraction.                 O187600200010 
ENDBIB               8          0                                 O187600200011 
NOCOMMON             0          0                                 O187600200012 
DATA                 5        246                                 O187600200013 
ANG        EN         EN-ERR     DATA       ERR-T                 O187600200014 
BIB                  4          9                                 O187600300002 
REACTION   (5-B-11(P,A)4-BE-8,PAR,DA)                             O187600300003 
STATUS     (TABLE).TABLE 2 of J,NIM/B,268,3539,2010               O187600300004 
ERR-ANALYS (ERR-S,5.0,7.0).The combined statistical errors,       O187600300005 
           varying between 5-7%, pending on the detector/angle    O187600300006 
           combination, included uncertainties in the product     O187600300007 
           Q*Omega and in peak integration, including counting    O187600300008 
           statistics and background subtraction.                 O187600300009 
HISTORY    (20120613A) SD: SF5=PAR was added to REACTION code in  O187600300010 
            and E-LVL=0 was added to COMMON.                      O187600300011 
ENDBIB               9          0                                 O187600300012 
COMMON               1          3                                 O187600300013 
E-LVL                                                             O187600300014 
MEV                                                               O187600300015 
  0.0                                                             O187600300016 
ENDCOMMON            3          0                                 O187600300017 
DATA                 5        246                                 O187600300018 
ANG        EN         EN-ERR     DATA       ERR-T                 O187600300019 
ADEG       KEV        KEV        MB/SR      MB/SR                 O187600300020 
135.       2177.      9.         0.580      0.030                 O187600300021 
135.       2227.      9.         0.680      0.040                 O187600300022 
135.       2278.      9.         1.000      0.050                 O187600300023 
135.       2328.      9.         1.470      0.070                 O187600300024 
135.       2378.      9.         1.860      0.090                 O187600300025 
135.       2429.      9.         2.580      0.120                 O187600300026 
135.       2479.      9.         3.540      0.160                 O187600300027 
135.       2529.      9.         4.190      0.190                 O187600300028 
135.       2579.      9.         4.890      0.210                 O187600300029 
135.       2630.      9.         5.040      0.220                 O187600300030 
135.       2680.      9.         4.800      0.210                 O187600300031 
135.       2730.      9.         3.830      0.170                 O187600300032 
135.       2780.      9.         2.740      0.130                 O187600300033 
135.       2831.      9.         1.810      0.090                 O187600300034 
135.       2881.      9.         1.260      0.060                 O187600300035 
135.       2931.      9.         0.820      0.040                 O187600300036 
135.       2981.      9.         0.580      0.030                 O187600300037 
135.       3031.      9.         0.520      0.030                 O187600300038 
135.       3082.      10.        0.510      0.030                 O187600300039 
135.       3132.      10.        0.720      0.040                 O187600300040 
135.       3182.      10.        0.800      0.040                 O187600300041 
135.       3232.      10.        0.800      0.040                 O187600300042 
135.       3282.      10.        0.840      0.050                 O187600300043 
135.       3333.      10.        0.820      0.050                 O187600300044 
135.       3383.      10.        0.970      0.050                 O187600300045 
135.       3433.      10.        0.980      0.060                 O187600300046 
135.       3483.      10.        1.130      0.070                 O187600300047 
135.       3533.      10.        1.370      0.070                 O187600300048 
135.       3583.      10.        1.520      0.080                 O187600300049 
135.       3633.      10.        1.690      0.090                 O187600300050 
135.       3684.      10.        1.750      0.090                 O187600300051 
135.       3734.      10.        1.660      0.090                 O187600300052 
135.       3784.      10.        1.680      0.090                 O187600300053 
135.       3834.      10.        1.770      0.100                 O187600300054 
135.       3884.      10.        1.760      0.090                 O187600300055 
135.       3934.      10.        1.510      0.090                 O187600300056 
135.       3984.      10.        1.560      0.090                 O187600300057 
135.       4035.      10.        1.120      0.080                 O187600300058 
135.       4085.      10.        1.250      0.080                 O187600300059 
135.       4135.      10.        1.070      0.070                 O187600300060 
135.       4185.      10.        0.900      0.070                 O187600300061 
140.       2177.      9.         0.600      0.030                 O187600300062 
140.       2227.      9.         0.730      0.040                 O187600300063 
140.       2278.      9.         1.130      0.060                 O187600300064 
140.       2328.      9.         1.450      0.070                 O187600300065 
140.       2378.      9.         2.060      0.100                 O187600300066 
140.       2429.      9.         2.550      0.120                 O187600300067 
140.       2479.      9.         3.800      0.170                 O187600300068 
140.       2529.      9.         4.690      0.200                 O187600300069 
140.       2579.      9.         5.380      0.230                 O187600300070 
140.       2630.      9.         5.380      0.230                 O187600300071 
140.       2680.      9.         4.370      0.190                 O187600300072 
140.       2730.      9.         3.810      0.170                 O187600300073 
140.       2780.      9.         2.920      0.130                 O187600300074 
140.       2831.      9.         1.840      0.090                 O187600300075 
140.       2881.      9.         1.170      0.060                 O187600300076 
140.       2931.      9.         0.700      0.040                 O187600300077 
140.       2981.      9.         0.510      0.030                 O187600300078 
140.       3031.      9.         0.470      0.030                 O187600300079 
140.       3082.      10.        0.600      0.040                 O187600300080 
140.       3132.      10.        0.730      0.040                 O187600300081 
140.       3182.      10.        0.770      0.040                 O187600300082 
140.       3232.      10.        0.940      0.050                 O187600300083 
140.       3282.      10.        0.900      0.050                 O187600300084 
140.       3333.      10.        0.970      0.050                 O187600300085 
