      3.669      1240.       1.01                                 O140800400112 
      3.669      1360.       6.41                                 O140800400113 
      3.694       110.        6.2                                 O140800400114 
      3.694       197.      10.83                                 O140800400115 
      3.694      1240.       0.93                                 O140800400116 
      3.694      1360.       6.28                                 O140800400117 
       3.72       110.       6.29                                 O140800400118 
       3.72       197.      11.15                                 O140800400119 
       3.72      1240.       0.84                                 O140800400120 
       3.72      1360.       6.71                                 O140800400121 
      3.745       110.       6.38                                 O140800400122 
      3.745       197.      11.12                                 O140800400123 
      3.745      1240.       0.79                                 O140800400124 
      3.745      1360.       6.86                                 O140800400125 
      3.771       110.       6.46                                 O140800400126 
      3.771       197.      11.66                                 O140800400127 
      3.771      1240.       0.75                                 O140800400128 
      3.771      1360.       7.21                                 O140800400129 
      3.796       110.        6.6                                 O140800400130 
      3.796       197.      11.85                                 O140800400131 
      3.796      1240.       0.83                                 O140800400132 
      3.796      1360.       7.29                                 O140800400133 
      3.821       110.       6.73                                 O140800400134 
      3.821       197.      12.81                                 O140800400135 
      3.821      1240.       0.97                                 O140800400136 
      3.821      1360.       7.61                                 O140800400137 
      3.847       110.       6.73                                 O140800400138 
      3.847       197.      13.37                                 O140800400139 
      3.847      1240.       1.29                                 O140800400140 
      3.847      1360.       7.43                                 O140800400141 
      3.872       110.       6.98                                 O140800400142 
      3.872       197.       14.4                                 O140800400143 
      3.872      1240.       1.78                                 O140800400144 
      3.872      1360.       7.66                                 O140800400145 
      3.898       110.       7.64                                 O140800400146 
      3.898       197.      15.41                                 O140800400147 
      3.898      1240.       2.58                                 O140800400148 
      3.898      1360.       7.65                                 O140800400149 
      3.923       110.        8.5                                 O140800400150 
      3.923       197.      15.75                                 O140800400151 
      3.923      1240.       3.37                                 O140800400152 
      3.923      1360.       7.93                                 O140800400153 
      3.969       110.       7.96                                 O140800400154 
      3.969       197.      16.32                                 O140800400155 
      3.969      1240.       2.47                                 O140800400156 
      3.969      1360.       8.35                                 O140800400157 
      3.974       110.       7.52                                 O140800400158 
      3.974       197.      18.74                                 O140800400159 
      3.974      1240.       1.74                                 O140800400160 
      3.974      1360.       8.83                                 O140800400161 
      3.999       110.       7.21                                 O140800400162 
      3.999       197.      18.73                                 O140800400163 
      3.999      1240.       1.65                                 O140800400164 
      3.999      1360.        8.8                                 O140800400165 
      4.025       110.       7.93                                 O140800400166 
      4.025       197.      18.38                                 O140800400167 
      4.025      1240.       2.06                                 O140800400168 
      4.025      1360.       9.55                                 O140800400169 
       4.05       110.       7.42                                 O140800400170 
       4.05       197.      19.66                                 O140800400171 
       4.05      1240.       1.98                                 O140800400172 
       4.05      1360.       9.37                                 O140800400173 
      4.075       110.       6.04                                 O140800400174 
      4.075       197.      19.64                                 O140800400175 
      4.075      1240.       1.71                                 O140800400176 
      4.075      1360.        8.5                                 O140800400177 
      4.101       110.       5.46                                 O140800400178 
      4.101       197.      21.14                                 O140800400179 
      4.101      1240.       1.55                                 O140800400180 
      4.101      1360.       8.91                                 O140800400181 
      4.126       110.       4.86                                 O140800400182 
      4.126       197.      22.93                                 O140800400183 
      4.126      1240.       1.42                                 O140800400184 
      4.126      1360.       9.54                                 O140800400185 
      4.152       110.       4.37                                 O140800400186 
      4.152       197.      21.64                                 O140800400187 
      4.152      1240.       1.18                                 O140800400188 
      4.152      1360.       8.83                                 O140800400189 
      4.177       110.       4.35                                 O140800400190 
      4.177       197.      21.53                                 O140800400191 
      4.177      1240.        1.2                                 O140800400192 
      4.177      1360.       8.83                                 O140800400193 
      4.202       110.       4.46                                 O140800400194 
      4.202       197.       21.7                                 O140800400195 
      4.202      1240.       1.15                                 O140800400196 
      4.202      1360.       8.95                                 O140800400197 
      4.228       110.       4.85                                 O140800400198 
      4.228       197.      21.33                                 O140800400199 
      4.228      1240.       1.14                                 O140800400200 
      4.228      1360.       8.85                                 O140800400201 
      4.253       110.       5.03                                 O140800400202 
      4.253       197.      21.37                                 O140800400203 
      4.253      1240.       1.04                                 O140800400204 
      4.253      1360.       8.82                                 O140800400205 
      4.279       110.       6.01                                 O140800400206 
      4.279       197.      19.02                                 O140800400207 
      4.279      1240.        1.3                                 O140800400208 
      4.279      1360.       9.11                                 O140800400209 
      4.304       110.       7.71                                 O140800400210 
      4.304       197.      19.46                                 O140800400211 
      4.304      1240.       1.66                                 O140800400212 
      4.304      1360.       9.73                                 O140800400213 
      4.329       110.       9.13                                 O140800400214 
      4.329       197.      19.15                                 O140800400215 
      4.329      1240.       1.93                                 O140800400216 
      4.329      1360.       9.48                                 O140800400217 
      4.355       110.       8.45                                 O140800400218 
      4.355       197.      17.64                                 O140800400219 
      4.355      1240.       1.91                                 O140800400220 
      4.355      1360.       8.46                                 O140800400221 
       4.38       110.       7.72                                 O140800400222 
       4.38       197.      18.03                                 O140800400223 
       4.38      1240.       1.93                                 O140800400224 
       4.38      1360.       8.42                                 O140800400225 
      4.406       110.        7.2                                 O140800400226 
      4.406       197.      17.58                                 O140800400227 
      4.406      1240.        1.9                                 O140800400228 
      4.406      1360.       8.35                                 O140800400229 
      4.431       110.       7.26                                 O140800400230 
      4.431       197.      17.56                                 O140800400231 
      4.431      1240.       2.07                                 O140800400232 
      4.431      1360.       8.36                                 O140800400233 
      4.456       110.       8.29                                 O140800400234 
      4.456       197.      16.22                                 O140800400235 
      4.456      1240.       3.12                                 O140800400236 
      4.456      1360.       8.21                                 O140800400237 
      4.482       110.       8.53                                 O140800400238 
      4.482       197.      15.17                                 O140800400239 
      4.482      1240.       3.59                                 O140800400240 
      4.482      1360.       8.32                                 O140800400241 
      4.507       110.       7.53                                 O140800400242 
      4.507       197.      15.87                                 O140800400243 
      4.507      1240.       3.02                                 O140800400244 
      4.507      1360.       8.56                                 O140800400245 
      4.532       110.       6.92                                 O140800400246 
      4.532       197.      17.48                                 O140800400247 
      4.532      1240.       2.08                                 O140800400248 
      4.532      1360.       9.14                                 O140800400249 
      4.558       110.       6.95                                 O140800400250 
      4.558       197.      18.39                                 O140800400251 
      4.558      1240.       1.53                                 O140800400252 
      4.558      1360.       9.45                                 O140800400253 
      4.583       110.       6.24                                 O140800400254 
      4.583       197.      18.91                                 O140800400255 
      4.583      1240.       1.38                                 O140800400256 
      4.583      1360.       9.72                                 O140800400257 
      4.609       110.       4.99                                 O140800400258 
      4.609       197.      17.85                                 O140800400259 
      4.609      1240.       1.09                                 O140800400260 
      4.609      1360.       9.09                                 O140800400261 
      4.634       110.       4.52                                 O140800400262 
      4.634       197.      17.39                                 O140800400263 
      4.634      1240.       1.07                                 O140800400264 
      4.634      1360.        8.8                                 O140800400265 
      4.659       110.       4.59                                 O140800400266 
      4.659       197.      17.51                                 O140800400267 
      4.659      1240.       1.46                                 O140800400268 
      4.659      1360.       9.38                                 O140800400269 
      4.685       110.        5.1                                 O140800400270 
      4.685       197.      17.28                                 O140800400271 
      4.685      1240.        2.3                                 O140800400272 
      4.685      1360.       9.68                                 O140800400273 
       4.71       110.       6.23                                 O140800400274 
       4.71       197.      15.49                                 O140800400275 
       4.71      1240.       3.66                                 O140800400276 
       4.71      1360.       9.05                                 O140800400277 
      4.736       110.       5.61                                 O140800400278 
      4.736       197.      15.81                                 O140800400279 
      4.736      1240.       2.96                                 O140800400280 
      4.736      1360.       8.16                                 O140800400281 
      4.761       110.       5.23                                 O140800400282 
      4.761       197.      18.65                                 O140800400283 
      4.761      1240.       2.17                                 O140800400284 
      4.761      1360.       8.24                                 O140800400285 
      4.786       110.       5.09                                 O140800400286 
      4.786       197.      17.89                                 O140800400287 
