ENTRY            O0461   20000426                             0000O046100000001 
SUBENT        O0461001   20000426                             0000O046100100001 
BIB                 10         18                                 O046100100002 
TITLE       (P,A) Reactions on the Even Nuclei Ni-58, Ni-60 and   O046100100003 
           Fe-56.                                                 O046100100004 
AUTHOR     (I.KUMABE,H.OGATA,T.KOMATUZAKI,N.INOUE,S.TOMITA,       O046100100005 
           Y.YAMADA,T.YAMAKI,S.MATSUMOTO)                         O046100100006 
INSTITUTE  (2JPNKTO)                                              O046100100007 
REFERENCE  (J,NP,46,437,1963)                                     O046100100008 
HISTORY    (19980624C)                                            O046100100009 
           (19980729U) Last checking has been done.               O046100100010 
           (20000426A) DATE is corrected                          O046100100011 
ADD-RES    (COMP).The Theory of the Compound Nucleus Developed by O046100100012 
           Ericson.                                               O046100100013 
           New Levels have Been Found in Co-55 and Co-57.         O046100100014 
DETECTOR   (SOLST).A P-N Junction Detector (TWO SOLID STATE       O046100100015 
           DETECTORS).                                            O046100100016 
           (CSICR).The Counter For Monitoring the Beam Current.   O046100100017 
FACILITY   (ISOCY,2JPNTOK).A 160 Cm Variable Energy Cyclotron.    O046100100018 
METHOD     (BCINT)                                                O046100100019 
STATUS     (CURVE).By CAJAD.                                      O046100100020 
ENDBIB              18          0                                 O046100100021 
NOCOMMON             0          0                                 O046100100022 
ENDSUBENT           21          0                                 O046100199999 
SUBENT        O0461002   20000426                             0000O046100200001 
BIB                  5          7                                 O046100200002 
REACTION   (28-NI-58(P,A)27-CO-55,PAR,DA)                         O046100200003 
EN-SEC     (E-LVL,27-CO-55)                                       O046100200004 
SAMPLE     Selfsupporting Metallic Foils of Ni-58,Enrichment-95%, O046100200005 
           Thickness 0.075 Mg/Cm**2,were Used.                    O046100200006 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O046100200007 
           (ANG-ERR).Data-Point Reader Uncertainty.               O046100200008 
COMMENT    - By Compiler - 1.8 MeV Level is Absent in ENSDF.      O046100200009 
ENDBIB               7          0                                 O046100200010 
COMMON               1          3                                 O046100200011 
ANG-ERR                                                           O046100200012 
ADEG                                                              O046100200013 
        0.6                                                       O046100200014 
ENDCOMMON            3          0                                 O046100200015 
DATA                 5        203                                 O046100200016 
EN         ANG-CM     E-LVL      DATA-CM    ERR-T                 O046100200017 
      12.19      120.6       1.37      0.164      0.018           O046100300217 
      12.19      120.6       2.08      0.168      0.022           O046100300218 
      12.19      121.4       1.77      0.162      0.016           O046100300219 
      12.19      121.6         0.      0.192      0.005           O046100300220 
      12.19      121.6       1.49      0.095      0.022           O046100300221 
      12.19      121.9        1.6      0.049      0.017           O046100300222 
      12.19      129.3       2.21      0.113      0.021           O046100300223 
      12.19      129.9       1.89      0.248      0.029           O046100300224 
      12.19      130.1       1.37      0.137      0.017           O046100300225 
      12.19      130.2         0.      0.197      0.005           O046100300226 
      12.19      130.8       1.49      0.115       0.01           O046100300227 
      12.19      131.2       2.08      0.161      0.021           O046100300228 
      12.19      131.3        1.6      0.056      0.013           O046100300229 
      12.19      131.4       1.77      0.164      0.019           O046100300230 
      12.19      139.9       2.21      0.102      0.018           O046100300231 
      12.19      140.3       2.08      0.146      0.016           O046100300232 
      12.19      140.5         0.      0.191      0.006           O046100300233 
      12.19      140.7       1.89      0.234      0.023           O046100300234 
      12.19      140.8       1.37      0.143       0.02           O046100300235 
      12.19      140.8       1.49      0.115      0.025           O046100300236 
      12.19      141.3        1.6      0.083      0.021           O046100300237 
      12.19      141.3       1.77      0.186      0.023           O046100300238 
      12.19      148.4       2.21      0.118      0.014           O046100300239 
      12.19      149.6       2.08      0.102       0.02           O046100300240 
      12.19       150.       1.49      0.119      0.017           O046100300241 
      12.19      150.3         0.       0.18      0.006           O046100300242 
      12.19      150.3       1.37      0.128      0.019           O046100300243 
      12.19      150.3       1.89       0.17      0.028           O046100300244 
      12.19      151.1       1.77      0.243      0.024           O046100300245 
      12.19       152.        1.6      0.086      0.023           O046100300246 
      12.19      158.4       2.21      0.144      0.026           O046100300247 
      12.19      159.3       1.37      0.104      0.014           O046100300248 
      12.19      159.4       1.89      0.145      0.019           O046100300249 
      12.19       160.         0.      0.162      0.004           O046100300250 
      12.19       160.       1.49      0.133      0.024           O046100300251 
      12.19      160.1       2.08       0.06      0.018           O046100300252 
      12.19      161.4        1.6      0.087      0.027           O046100300253 
      12.19      162.8       1.77      0.243      0.021           O046100300254 
      14.43       19.1         0.      0.574       0.01           O046100300255 
      14.43       20.2       1.37       0.04      0.006           O046100300256 
      14.43       20.5       1.49      0.035      0.009           O046100300257 
      14.43       28.3         0.       0.58      0.008           O046100300258 
      14.43       30.5       1.49      0.036      0.004           O046100300259 
      14.43       30.5       1.89      0.142      0.016           O046100300260 
      14.43       30.7       1.77      0.043      0.011           O046100300261 
      14.43       31.4       1.37      0.046      0.008           O046100300262 
      14.43       40.5         0.       0.34       0.01           O046100300263 
      14.43       40.5       1.49      0.027      0.008           O046100300264 
      14.43       40.9       1.89      0.127      0.016           O046100300265 
      14.43       41.5       1.77       0.05      0.016           O046100300266 
      14.43       41.7       1.37      0.046      0.009           O046100300267 
      14.43       50.4         0.      0.158      0.011           O046100300268 
      14.43       51.4       1.77      0.053      0.013           O046100300269 
      14.43       51.5       1.49      0.023      0.006           O046100300270 
      14.43       51.6       1.89      0.105      0.012           O046100300271 
      14.43       51.9       1.37      0.047      0.007           O046100300272 
      14.43       61.3       1.37      0.047      0.007           O046100300273 
      14.43       61.4         0.      0.091       0.01           O046100300274 
      14.43       61.4       1.77      0.063      0.012           O046100300275 
      14.43       61.5       1.49      0.021      0.006           O046100300276 
      14.43       61.6       1.89      0.098      0.015           O046100300277 
      14.43       70.6         0.      0.077      0.008           O046100300278 
      14.43       71.4       1.77      0.063       0.01           O046100300279 
      14.43       71.6       1.49      0.018      0.008           O046100300280 
      14.43       71.6       1.89      0.076      0.016           O046100300281 
      14.43       72.1       1.37      0.028      0.005           O046100300282 
      14.43       80.9         0.      0.071      0.006           O046100300283 
      14.43       81.2       1.49      0.021      0.007           O046100300284 
      14.43       81.5       1.37      0.026      0.006           O046100300285 
      14.43       81.5       1.89      0.054      0.013           O046100300286 
      14.43       81.8       1.77      0.054      0.008           O046100300287 
      14.43       91.7       1.37      0.033      0.009           O046100300288 
      14.43       91.8         0.      0.068      0.005           O046100300289 
      14.43       91.9       1.89      0.045      0.011           O046100300290 
      14.43       92.1       1.49      0.028      0.008           O046100300291 
      14.43       92.6       1.77       0.06      0.009           O046100300292 
      14.43       101.       1.89      0.043      0.012           O046100300293 
      14.43      101.6         0.      0.068      0.007           O046100300294 
      14.43      101.7       1.49      0.031      0.008           O046100300295 
      14.43      101.9       1.37      0.044      0.006           O046100300296 
      14.43       103.       1.77      0.057      0.008           O046100300297 
      14.43       111.       1.89       0.05      0.011           O046100300298 
      14.43      111.2       1.37      0.044      0.008           O046100300299 
      14.43      111.3         0.      0.068      0.004           O046100300300 
      14.43      111.7       1.49      0.022      0.007           O046100300301 
      14.43      112.1       1.77      0.054      0.009           O046100300302 
      14.43      120.9       1.37      0.058      0.007           O046100300303 
      14.43      121.1         0.      0.085      0.006           O046100300304 
      14.43      121.6       1.77      0.057      0.012           O046100300305 
      14.43      121.7       1.89      0.065      0.015           O046100300306 
      14.43      122.2       1.49      0.037      0.009           O046100300307 
      14.43      130.3         0.      0.079      0.006           O046100300308 
      14.43      130.8       1.89      0.089      0.023           O046100300309 
      14.43      131.1       1.37      0.064      0.009           O046100300310 
      14.43      131.2       1.77      0.055      0.015           O046100300311 
      14.43      131.3       1.49      0.034      0.009           O046100300312 
      14.43      141.2       1.89      0.125      0.017           O046100300313 
      14.43      141.3       1.49      0.054      0.015           O046100300314 
      14.43      141.6       1.77      0.042       0.01           O046100300315 
      14.43      141.9       1.37      0.064      0.007           O046100300316 
      14.43      142.9         0.      0.093      0.006           O046100300317 
      14.43      149.5       1.89      0.139      0.028           O046100300318 
      14.43      150.1       1.49      0.059      0.007           O046100300319 
      14.43      150.9         0.      0.067      0.006           O046100300320 
      14.43      150.9       1.37       0.05      0.008           O046100300321 
      14.43      151.1       1.77      0.036      0.023           O046100300322 
      14.43      159.3       1.37      0.045      0.014           O046100300323 
      14.43      160.1       1.49      0.082       0.01           O046100300324 
      14.43      160.6       1.89      0.153      0.029           O046100300325 
      14.43      160.7         0.      0.055      0.008           O046100300326 
      14.43      160.7       1.77      0.031      0.017           O046100300327 
ENDDATA            309          0                                 O046100300328 
ENDSUBENT          327          0                                 O046100399999 
SUBENT        O0461004   20000426                             0000O046100400001 
BIB                  4          7                                 O046100400002 
REACTION   (26-FE-56(P,A)25-MN-53,PAR,DA)                         O046100400003 
EN-SEC     (E-LVL,25-MN-53)                                       O046100400004 
SAMPLE     An Iron Target (NATURAL ABUNDANCE) Was Vacuum          O046100400005 
           Evaporated onto a Thin Formvar Film of 0.1 Mg/Cm**2    O046100400006 
           Thick.The Thickness of Iron Target was 0.18 Mg/Cm**2.  O046100400007 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O046100400008 
           (ANG-ERR).Data-Point Reader Uncertainty.               O046100400009 
ENDBIB               7          0                                 O046100400010 
COMMON               2          3                                 O046100400011 
EN         ANG-ERR                                                O046100400012 
MEV        ADEG                                                   O046100400013 
        11.        0.6                                            O046100400014 
ENDCOMMON            3          0                                 O046100400015 
DATA                 4         28                                 O046100400016 
ANG-CM     E-LVL      DATA-CM    ERR-T                            O046100400017 
ADEG       MEV        MB/SR      MB/SR                            O046100400018 
       31.4         0.       0.65       0.04                      O046100400019 
       31.7       0.38       0.54       0.04                      O046100400020 
       41.5         0.       0.68       0.03                      O046100400021 
       41.9       0.38       0.59       0.04                      O046100400022 
       51.3         0.      0.682      0.025                      O046100400023 
       51.6       0.38      0.625      0.023                      O046100400024 
       61.6         0.      0.646      0.021                      O046100400025 
       61.8       0.38      0.662       0.02                      O046100400026 
       72.1       0.38      0.583      0.017                      O046100400027 
       72.8         0.      0.666      0.019                      O046100400028 
       82.3         0.       0.72      0.023                      O046100400029 
       82.5       0.38      0.553      0.015                      O046100400030 
       91.5       0.38      0.555       0.01                      O046100400031 
       91.6         0.      0.708      0.013                      O046100400032 
      101.5         0.      0.716      0.023                      O046100400033 
      102.6       0.38      0.523      0.019                      O046100400034 
      112.3         0.       0.69      0.023                      O046100400035 
      112.3       0.38      0.497      0.015                      O046100400036 
      121.7       0.38      0.503      0.017                      O046100400037 
      122.3         0.       0.71      0.021                      O046100400038 
      131.5       0.38      0.502      0.019                      O046100400039 
      131.6         0.      0.692      0.018                      O046100400040 
      141.5       0.38      0.511      0.019                      O046100400041 
      142.4         0.      0.628      0.021                      O046100400042 
      151.1         0.      0.635       0.02                      O046100400043 
      151.5       0.38      0.537      0.016                      O046100400044 
      160.6         0.      0.597      0.028                      O046100400045 
      160.7       0.38       0.51       0.03                      O046100400046 
ENDDATA             30          0                                 O046100400047 
ENDSUBENT           46          0                                 O046100499999 
SUBENT        O0461005   20000426                             0000O046100500001 
BIB                  4          6                                 O046100500002 
REACTION   (28-NI-58(P,A)27-CO-55,PAR,SIG)                        O046100500003 
EN-SEC     (E-LVL,27-CO-55)                                       O046100500004 
SAMPLE     Selfsupporting Metallic Foils of Ni-58, Enrichment-95%,O046100500005 
           Thickness 0.075 Mg/Cm**2, were Used.                   O046100500006 
ERR-ANALYS (EN-ERR).Data-Point Reader Uncertainty.                O046100500007 
           (DATA-ERR).Data-Point Reader Uncertainty.              O046100500008 
ENDBIB               6          0                                 O046100500009 
COMMON               3          3                                 O046100500010 
EN-ERR     DATA-ERR   E-LVL                                       O046100500011 
MEV        MB         MEV                                         O046100500012 
     5.E-03     3.E-02         0.                                 O046100500013 
ENDCOMMON            3          0                                 O046100500014 
DATA                 2         28                                 O046100500015 
EN         DATA                                                   O046100500016 
MEV        MB                                                     O046100500017 
      8.919      2.959                                            O046100500018 
      9.003      3.038                                            O046100500019 
      9.102      3.022                                            O046100500020 
      9.189      2.571                                            O046100500021 
      9.269       2.42                                            O046100500022 
      9.327      5.679                                            O046100500023 
      9.369      6.547                                            O046100500024 
      9.418       3.87                                            O046100500025 
      9.476       5.08                                            O046100500026 
      9.512       4.96                                            O046100500027 
      9.568       3.57                                            O046100500028 
      9.624      4.113                                            O046100500029 
      9.657      4.522                                            O046100500030 
       9.72      6.561                                            O046100500031 
      9.777      5.608                                            O046100500032 
      9.816      8.663                                            O046100500033 
       9.87      4.673                                            O046100500034 
      9.917      6.184                                            O046100500035 
      9.963      5.648                                            O046100500036 
      10.02      5.822                                            O046100500037 
      10.06      5.955                                            O046100500038 
      10.08      7.125                                            O046100500039 
      10.11      6.568                                            O046100500040 
      10.13      6.702                                            O046100500041 
      10.16      7.297                                            O046100500042 
      10.21       10.1                                            O046100500043 
      10.23       7.24                                            O046100500044 
      10.26      8.179                                            O046100500045 
ENDDATA             30          0                                 O046100500046 
ENDSUBENT           45          0                                 O046100599999 
ENDENTRY             5          0                                 O046199999999 
