ENTRY            O1969   20120221                             O047O196900000001 
SUBENT        O1969001   20120221                             O047O196900100001 
BIB                 12         37                                 O196900100002 
TITLE      Proton elastic scattering differential cross-section   O196900100003 
           measurements of Sc-45.                                 O196900100004 
AUTHOR     (G.Provatas, A.Lagoyannis, S.Harissopulos, V.Foteinou, O196900100005 
           T.Konstantinopoulos, P.Misaelides, M.Kokkoris)         O196900100006 
INSTITUTE  (2GRCATH)                                              O196900100007 
           (2GRCARU)                                              O196900100008 
           (2GRCTUA)                                              O196900100009 
REFERENCE  (J,NIM/B,269,2994,2011)                                O196900100010 
FACILITY   (VDGT,2GRCATH) 5.5 MV Tandem Accelerator of N.C.S.R.   O196900100011 
                         "Demokritos"                             O196900100012 
SAMPLE     A thin self-supporting target was prepared by          O196900100013 
           evaporating ScBr(3) onto a carbon foil of 10 mug/cm**2 O196900100014 
           and placed inside a goniometric chamber. A thin gold   O196900100015 
           layer was evaporated on top of the Sc-Br layer in orderO196900100016 
           to calculate the beam current and to ensure better     O196900100017 
           thermal stability of the target during the irradiation.O196900100018 
           for energy range 2300-5500 keV                         O196900100019 
           The ScBr3 target was replaced by a thick approx. 0.2 cmO196900100020 
           pressed Sc(2)O(3) target. For this measurement the     O196900100021 
           thick target was irradiated for proton energies in the O196900100022 
           range E(lab)=3100-5500 keV                             O196900100023 
           The target was found to consist of 10.6+-0.9 mug/cm**2 O196900100024 
           Sc-45, 19+-2 mug/cm**2 of Br-nat                       O196900100025 
           and 9.1+-0.6 mug/cm**2 of Au-197                       O196900100026 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA,,RTH)                    O196900100027 
DETECTOR   (SIBAR) three Si surface barrier detectors with        O196900100028 
           a 300-1000 mum depletion layer for first type of targetO196900100029 
           and single Si surface barrier detector for Sc(2)O(3)   O196900100030 
           target                                                 O196900100031 
METHOD     (BCINT)                                                O196900100032 
ERR-ANALYS (EN-ERR).The error is reported by authors in table     O196900100033 
           (ERR-1,7.,8.).The error in areal densities of the Au   O196900100034 
           and Sc layers of the target                            O196900100035 
           (DATA-ERR).The uncertainty is reported by authors in   O196900100036 
           table.                                                 O196900100037 
STATUS     (TABLE).Table 1 of J,NIM/B,269,2994,2011               O196900100038 
HISTORY    (20120222C) sb                                         O196900100039 
ENDBIB              37          0                                 O196900100040 
NOCOMMON             0          0                                 O196900100041 
ENDSUBENT           40          0                                 O196900199999 
SUBENT        O1969002   20120222                             O047O196900200001 
BIB                  1          1                                 O196900200002 
REACTION   (21-SC-45(P,EL)21-SC-45,,DA)                           O196900200003 
ENDBIB               1          0                                 O196900200004 
NOCOMMON             0          0                                 O196900200005 
DATA                 5        266                                 O196900200006 
ANG        EN         EN-ERR     DATA       DATA-ERR              O196900200007 
170.       3191.      6.         55.        6.                    O196900200197 
170.       3241.      6.         54.        6.                    O196900200198 
170.       3291.      6.         48.        5.                    O196900200199 
170.       3341.      6.         48.        5.                    O196900200200 
170.       3391.      6.         54.        6.                    O196900200201 
170.       3441.      6.         43.        5.                    O196900200202 
170.       3492.      6.         36.        4.                    O196900200203 
170.       3517.      6.         40.        4.                    O196900200204 
170.       3542.      6.         54.        6.                    O196900200205 
170.       3592.      6.         42.        4.                    O196900200206 
170.       3642.      6.         40.        4.                    O196900200207 
170.       3692.      6.         44.        5.                    O196900200208 
170.       3742.      6.         42.        4.                    O196900200209 
170.       3792.      6.         53.        6.                    O196900200210 
170.       3842.      6.         49.        5.                    O196900200211 
170.       3892.      6.         38.        4.                    O196900200212 
170.       3942.      6.         48.        5.                    O196900200213 
170.       3992.      6.         45.        4.                    O196900200214 
170.       4017.      6.         43.        4.                    O196900200215 
170.       4042.      6.         44.        5.                    O196900200216 
170.       4067.      6.         40.        4.                    O196900200217 
170.       4092.      6.         42.        4.                    O196900200218 
170.       4117.      6.         46.        5.                    O196900200219 
170.       4142.      5.         52.        5.                    O196900200220 
170.       4167.      5.         41.        4.                    O196900200221 
170.       4192.      5.         41.        4.                    O196900200222 
170.       4217.      5.         40.        4.                    O196900200223 
170.       4242.      5.         38.        4.                    O196900200224 
170.       4267.      5.         34.        3.                    O196900200225 
170.       4292.      5.         40.        4.                    O196900200226 
170.       4317.      5.         32.        3.                    O196900200227 
170.       4342.      5.         36.        4.                    O196900200228 
170.       4367.      5.         36.        4.                    O196900200229 
170.       4392.      5.         42.        4.                    O196900200230 
170.       4417.      5.         35.        4.                    O196900200231 
170.       4442.      5.         34.        4.                    O196900200232 
170.       4467.      5.         42.        4.                    O196900200233 
170.       4492.      5.         42.        4.                    O196900200234 
170.       4517.      5.         32.        3.                    O196900200235 
170.       4542.      5.         38.        4.                    O196900200236 
170.       4567.      5.         38.        4.                    O196900200237 
170.       4592.      5.         43.        4.                    O196900200238 
170.       4618.      5.         38.        4.                    O196900200239 
170.       4643.      5.         40.        4.                    O196900200240 
170.       4668.      5.         41.        4.                    O196900200241 
170.       4693.      5.         44.        4.                    O196900200242 
170.       4718.      5.         43.        4.                    O196900200243 
170.       4743.      5.         41.        4.                    O196900200244 
170.       4768.      5.         38.        4.                    O196900200245 
170.       4793.      5.         33.        3.                    O196900200246 
170.       4818.      5.         37.        4.                    O196900200247 
170.       4843.      5.         41.        4.                    O196900200248 
170.       4868.      5.         43.        4.                    O196900200249 
170.       4893.      5.         36.        4.                    O196900200250 
170.       4918.      5.         38.        4.                    O196900200251 
170.       4943.      5.         35.        4.                    O196900200252 
170.       4968.      5.         36.        4.                    O196900200253 
