ENTRY            O2440   20200108                             O075O2440  0    1 
SUBENT        O2440001   20200108                             O075O2440  1    1 
BIB                  9         17                                 O2440  1    2 
TITLE      High-resolution (p,t) study of low-spin states in      O2440  1    3 
           240Pu: Octupole excitations, alpha clustering, and     O2440  1    4 
           other structure features                               O2440  1    5 
AUTHOR     (M.Spieker,S.Pascu,D.Bucurescu,T.M.Shneidman,          O2440  1    6 
           T.Faestermann,R.Hertenberger,H.-F.Wirth,N.-V.Zamfir,   O2440  1    7 
           A.Zilges)                                              O2440  1    8 
INSTITUTE  (2GERKLN,3RUMBUC,4ZZZDUB,2GERMUN,2GERLMU)              O2440  1    9 
           (4RUSRUS) Kazan Federal University, Kazan 420008       O2440  1   10 
REFERENCE  (J,PR/C,97,064319,2018)                                O2440  1   11 
           #doi:10.1103/PhysRevC.97.064319                        O2440  1   12 
FACILITY   (VDGT,2GERMUN)                                         O2440  1   13 
SAMPLE     A 120 ug/cm2 thick and highly enriched 99.93% 240Pu    O2440  1   14 
           target (T1/2 = 3.75x10**5 years)                       O2440  1   15 
DETECTOR   (MAGSP) Q3D magnetic spectrograph with energy          O2440  1   16 
           resolution of less than 10 keV.                        O2440  1   17 
METHOD     (EDE)                                                  O2440  1   18 
HISTORY    (20200108C) VS                                         O2440  1   19 
ENDBIB              17          0                                 O2440  1   20 
COMMON               1          3                                 O2440  1   21 
EN                                                                O2440  1   22 
MEV                                                               O2440  1   23 
        24.                                                       O2440  1   24 
ENDCOMMON            3          0                                 O2440  1   25 
ENDSUBENT           24          0                                 O2440  199999 
SUBENT        O2440002   20200108                             O075O2440  2    1 
BIB                  4          7                                 O2440  2    2 
REACTION   (94-PU-242(P,T)94-PU-240,PAR,DA)                       O2440  2    3 
MISC-COL   (MISC) Uncertainty in the level energy                 O2440  2    4 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainties. O2440  2    5 
STATUS     (UNOBT) An e-mail for numerical data sent to           O2440  2    6 
           M. Spieker on 10.01.2020                               O2440  2    7 
           (CURVE) Data scanned from Figs. 4, 5 and 6 of          O2440  2    8 
           Phys.Rev.C97(2018)064319                               O2440  2    9 
ENDBIB               7          0                                 O2440  2   10 
NOCOMMON             0          0                                 O2440  2   11 
DATA                 5        560                                 O2440  2   12 
E-LVL      MISC       ANG        DATA       DATA-ERR              O2440  2   13 
     1925.4        0.3       15.2      2.207      0.145           O2440  2  393 
     1925.4        0.3       20.2      2.371      0.124           O2440  2  394 
     1925.4        0.3       25.2      2.438      0.145           O2440  2  395 
     1925.4        0.3       30.2      1.932      0.118           O2440  2  396 
     1925.4        0.3       35.3      1.177      0.111           O2440  2  397 
     1925.4        0.3       40.3      0.912      0.090           O2440  2  398 
     1934.2        0.1        5.1      4.161      0.221           O2440  2  399 
     1934.2        0.1        7.6      6.227      0.827           O2440  2  400 
     1934.2        0.1       10.1      9.176      0.276           O2440  2  401 
     1934.2        0.1       15.1     12.646      0.248           O2440  2  402 
     1934.2        0.1       20.2      9.224      0.221           O2440  2  403 
     1934.2        0.1       25.2      6.132      0.166           O2440  2  404 
     1934.2        0.1       30.2      5.246      0.165           O2440  2  405 
     1934.2        0.1       35.3      7.449      0.193           O2440  2  406 
     1934.2        0.1       40.3      8.135      0.165           O2440  2  407 
     2030.4        0.1        5.0     7.3832     0.2515           O2440  2  408 
     2030.4        0.1        7.5     5.7844     0.1976           O2440  2  409 
     2030.4        0.1       10.1     2.5689     0.1617           O2440  2  410 
     2030.4        0.1       15.1     0.6287     0.1078           O2440  2  411 
     2030.4        0.1       20.1     3.1078     0.1257           O2440  2  412 
     2030.4        0.1       25.2     4.9760     0.1796           O2440  2  413 
     2030.4        0.1       30.2     3.7365     0.1078           O2440  2  414 
     2030.4        0.1       35.3     2.1557     0.1257           O2440  2  415 
     2030.4        0.1       40.4     1.3293     0.1078           O2440  2  416 
     2083.4        0.1        5.0       8.17       0.29           O2440  2  417 
     2083.4        0.1        7.5       8.27       0.35           O2440  2  418 
     2083.4        0.1       10.1       6.99       0.27           O2440  2  419 
     2083.4        0.1       15.1       5.58       0.33           O2440  2  420 
     2083.4        0.1       20.1       6.27       0.27           O2440  2  421 
     2083.4        0.1       25.2       7.10       0.29           O2440  2  422 
     2083.4        0.1       30.2       5.03       0.19           O2440  2  423 
     2083.4        0.1       35.3       4.08       0.17           O2440  2  424 
     2083.4        0.1       40.4       4.08       0.17           O2440  2  425 
     2184.9        0.4        5.1      0.412      0.077           O2440  2  426 
     2184.9        0.4        7.6      0.464      0.092           O2440  2  427 
     2184.9        0.4       10.1      0.685      0.096           O2440  2  428 
     2184.9        0.4       15.1      0.685      0.074           O2440  2  429 
     2184.9        0.4       20.2      0.902      0.092           O2440  2  430 
     2184.9        0.4       25.2      0.804      0.092           O2440  2  431 
     2184.9        0.4       30.2      0.595      0.059           O2440  2  432 
     2184.9        0.4       35.2      0.374      0.077           O2440  2  433 
     2195.4        0.6        7.6      0.388      0.061           O2440  2  434 
     2195.4        0.6       10.1      0.341      0.077           O2440  2  435 
     2195.4        0.6       15.1      0.492      0.066           O2440  2  436 
     2195.4        0.6       20.2      0.660      0.085           O2440  2  437 
     2195.4        0.6       30.2      0.450      0.055           O2440  2  438 
     2195.4        0.6       35.3      0.780      0.077           O2440  2  439 
     2195.4        0.6       40.3      0.838      0.083           O2440  2  440 
     2279.1        0.6        5.0      2.189      0.218           O2440  2  441 
     2279.1        0.6        7.6      1.639      0.218           O2440  2  442 
     2279.1        0.6       10.1      0.642      0.195           O2440  2  443 
     2279.1        0.6       15.1      1.685      0.493           O2440  2  444 
     2279.1        0.6       20.1      2.877      0.309           O2440  2  445 
     2279.1        0.6       25.2      3.817      0.413           O2440  2  446 
     2279.1        0.6       30.2      2.109      0.229           O2440  2  447 
     2279.1        0.6       35.3      0.458      0.126           O2440  2  448 
     2279.1        0.6       40.3      0.309      0.080           O2440  2  449 
     2309.3        0.2        5.0       1.82       0.14           O2440  2  450 
     2309.3        0.2        7.6       1.14       0.12           O2440  2  451 
     2309.3        0.2       10.1       1.13       0.10           O2440  2  452 
     2309.3        0.2       20.2       0.77       0.07           O2440  2  453 
     2309.3        0.2       25.2       1.12       0.10           O2440  2  454 
     2309.3        0.2       30.2       0.91       0.09           O2440  2  455 
     2309.3        0.2       35.3       0.17       0.12           O2440  2  456 
     2309.3        0.2       40.3       0.76       0.09           O2440  2  457 
     2335.7        0.4        5.1      10.18       0.27           O2440  2  458 
     2335.7        0.4        7.7       7.26       0.27           O2440  2  459 
     2335.7        0.4       10.1       3.08       0.56           O2440  2  460 
     2335.7        0.4       15.1       1.96       0.44           O2440  2  461 
     2335.7        0.4       20.2       8.34       0.32           O2440  2  462 
     2335.7        0.4       25.2      11.50       0.32           O2440  2  463 
     2335.7        0.4       30.3       5.01       0.51           O2440  2  464 
     2335.7        0.4       35.3       2.85       0.22           O2440  2  465 
     2335.7        0.4       40.3       2.02       0.24           O2440  2  466 
     2381.8        0.4        5.0       6.21       0.34           O2440  2  467 
     2381.8        0.4        7.5       3.86       0.34           O2440  2  468 
     2381.8        0.4       10.0       2.35       0.48           O2440  2  469 
     2381.8        0.4       15.1       1.75       0.33           O2440  2  470 
     2381.8        0.4       20.1       4.39       0.34           O2440  2  471 
     2381.8        0.4       25.1       5.50       0.26           O2440  2  472 
     2381.8        0.4       30.2       3.87       0.21           O2440  2  473 
     2381.8        0.4       35.2       1.94       0.36           O2440  2  474 
     2381.8        0.4       40.3       1.82       0.19           O2440  2  475 
     2450.3        0.7        5.0       6.47       0.43           O2440  2  476 
     2450.3        0.7        7.5       4.20       0.46           O2440  2  477 
     2450.3        0.7       10.1       3.77       0.60           O2440  2  478 
     2450.3        0.7       15.1       2.80       0.17           O2440  2  479 
     2450.3        0.7       20.1       4.78       0.21           O2440  2  480 
     2450.3        0.7       25.2       5.61       0.43           O2440  2  481 
     2450.3        0.7       30.2       4.49       0.79           O2440  2  482 
     2450.3        0.7       35.2       2.62       0.29           O2440  2  483 
     2450.3        0.7       40.2       3.17                      O2440  2  484 
     2474.9        0.5        5.0       4.22       0.37           O2440  2  485 
     2474.9        0.5        7.5       3.15       0.39           O2440  2  486 
     2474.9        0.5       10.1       1.39       0.18           O2440  2  487 
     2474.9        0.5       15.1       1.70       0.78           O2440  2  488 
     2474.9        0.5       20.1       3.61       0.42           O2440  2  489 
     2474.9        0.5       25.1       4.13       0.29           O2440  2  490 
     2474.9        0.5       30.2       3.27       0.27           O2440  2  491 
     2474.9        0.5       35.2       1.16       0.39           O2440  2  492 
     2474.9        0.5       40.3       0.52       0.22           O2440  2  493 
     2490.1        0.7        5.0       2.28       0.17           O2440  2  494 
     2490.1        0.7        7.5       1.44       0.46           O2440  2  495 
     2490.1        0.7       10.0       0.97       0.28           O2440  2  496 
     2490.1        0.7       15.1       0.69       0.23           O2440  2  497 
     2490.1        0.7       20.1       2.85       0.13           O2440  2  498 
     2490.1        0.7       25.1       2.73       0.16           O2440  2  499 
     2490.1        0.7       30.2       1.67       0.13           O2440  2  500 
     2490.1        0.7       35.3       0.64       0.13           O2440  2  501 
     2490.1        0.7       40.3       0.83       0.21           O2440  2  502 
     2640.4        0.1        5.1       8.47       0.46           O2440  2  503 
     2640.4        0.1        7.6       4.82       0.33           O2440  2  504 
     2640.4        0.1       10.1       2.74       0.24           O2440  2  505 
     2640.4        0.1       15.2       1.03       0.50           O2440  2  506 
     2640.4        0.1       20.2       4.16       0.52           O2440  2  507 
     2640.4        0.1       25.2       6.20       0.28           O2440  2  508 
     2640.4        0.1       30.3       4.47       0.22           O2440  2  509 
     2640.4        0.1       35.3       2.20       0.38           O2440  2  510 
     2640.4        0.1       40.3       1.19       0.15           O2440  2  511 
     2644.6        0.2        5.0       8.78       0.44           O2440  2  512 
     2644.6        0.2        7.5       5.81       0.34           O2440  2  513 
     2644.6        0.2       10.1       2.45       0.22           O2440  2  514 
     2644.6        0.2       15.1       2.39       0.54           O2440  2  515 
     2644.6        0.2       20.1       7.73       0.50           O2440  2  516 
     2644.6        0.2       25.1       9.12       0.32           O2440  2  517 
     2644.6        0.2       30.2       5.58       0.24           O2440  2  518 
     2644.6        0.2       35.2       2.37       0.46           O2440  2  519 
     2644.6        0.2       40.3       1.63       0.22           O2440  2  520 
     2733.4        0.3        5.1       3.48       0.23           O2440  2  521 
     2733.4        0.3        7.6       2.10       0.19           O2440  2  522 
     2733.4        0.3       10.1       1.47       0.16           O2440  2  523 
     2733.4        0.3       15.2       1.57       0.14           O2440  2  524 
     2733.4        0.3       20.2       2.12       0.16           O2440  2  525 
     2733.4        0.3       25.3       2.92       0.22           O2440  2  526 
     2733.4        0.3       30.3       1.46       0.19           O2440  2  527 
     2733.4        0.3       35.3       0.89       0.21           O2440  2  528 
     2733.4        0.3       40.3       0.84       0.18           O2440  2  529 
     2769.0        0.2        5.0      1.279      0.276           O2440  2  530 
     2769.0        0.2        7.6      2.603      0.342           O2440  2  531 
     2769.0        0.2       10.0      2.967      0.276           O2440  2  532 
     2769.0        0.2       15.1      4.257      0.485           O2440  2  533 
     2769.0        0.2       20.2      2.801      0.276           O2440  2  534 
     2769.0        0.2       25.2      2.195      0.287           O2440  2  535 
     2769.0        0.2       30.2      1.147      0.298           O2440  2  536 
     2769.0        0.2       35.2      1.875      0.243           O2440  2  537 
     2769.0        0.2       40.3      2.691      0.165           O2440  2  538 
     2793.2        0.2        5.0       2.76       0.21           O2440  2  539 
     2793.2        0.2        7.6       2.35       0.16           O2440  2  540 
     2793.2        0.2       10.1       1.40       0.16           O2440  2  541 
     2793.2        0.2       15.1       0.83       0.20           O2440  2  542 
     2793.2        0.2       20.2       1.39       0.11           O2440  2  543 
     2793.2        0.2       25.2       2.62       0.70           O2440  2  544 
     2793.2        0.2       30.2       2.05       0.46           O2440  2  545 
     2793.2        0.2       35.3       2.13       0.20           O2440  2  546 
     2793.2        0.2       40.3       1.12       0.09           O2440  2  547 
     2852.6        0.4        5.0       4.70       0.21           O2440  2  548 
     2852.6        0.4        7.6       3.44       0.24           O2440  2  549 
     2852.6        0.4       10.1       1.40       0.30           O2440  2  550 
     2852.6        0.4       15.1       1.53       0.16           O2440  2  551 
     2852.6        0.4       20.2       2.50       0.13           O2440  2  552 
     2852.6        0.4       25.2       4.50       0.19           O2440  2  553 
     2852.6        0.4       30.2       2.67       0.34           O2440  2  554 
     2852.6        0.4       35.2       1.79       0.20           O2440  2  555 
     2852.6        0.4       40.3       0.77       0.09           O2440  2  556 
     2990.8        0.3        5.0       2.82       0.26           O2440  2  557 
     2990.8        0.3        7.6       1.54       0.29           O2440  2  558 
     2990.8        0.3       10.1       1.18       0.20           O2440  2  559 
     2990.8        0.3       15.1       1.70       0.14           O2440  2  560 
     2990.8        0.3       20.1       2.56       0.16           O2440  2  561 
     2990.8        0.3       25.2       2.78       0.16           O2440  2  562 
     2990.8        0.3       30.2       2.24       0.17           O2440  2  563 
     2990.8        0.3       35.2       2.00       0.16           O2440  2  564 
     2990.8        0.3       40.3       0.90       0.13           O2440  2  565 
     3000.9        0.2        5.0       3.19       1.10           O2440  2  566 
     3000.9        0.2        7.5       1.95       0.38           O2440  2  567 
     3000.9        0.2       10.1       1.46       0.22           O2440  2  568 
     3000.9        0.2       15.1       1.40       0.31           O2440  2  569 
     3000.9        0.2       20.1       2.67       0.80           O2440  2  570 
     3000.9        0.2       25.2       4.73       0.47           O2440  2  571 
     3000.9        0.2       30.2       2.09       1.26           O2440  2  572 
     3000.9        0.2       35.3       2.41       0.18           O2440  2  573 
     3000.9        0.2       40.3       1.15       0.18           O2440  2  574 
ENDDATA            562          0                                 O2440  2  575 
ENDSUBENT          574          0                                 O2440  299999 
SUBENT        O2440003   20200126                             O075O2440  3    1 
BIB                  5          5                                 O2440  3    2 
REACTION   (94-PU-242(P,T)94-PU-240,PAR,SIG)                      O2440  3    3 
ANALYSIS   (INTAD)                                                O2440  3    4 
MISC-COL   (MISC) Uncertainty in the level energy                 O2440  3    5 
ERR-ANALYS (ERR-S) Statistical uncertainties are given            O2440  3    6 
STATUS     (TABLE) Table I of Phys.Rev.C97(2018)064319            O2440  3    7 
ENDBIB               5          0                                 O2440  3    8 
NOCOMMON             0          0                                 O2440  3    9 
DATA                 4        137                                 O2440  3   10 
E-LVL      MISC       DATA       ERR-S                            O2440  3   11 
KEV        KEV        MICRO-B    MICRO-B                          O2440  3   12 
        0.0        0.1     173.75       0.07                      O2440  3   13 
       42.0        0.1      49.41       0.03                      O2440  3   14 
      141.5        0.1      12.01       0.02                      O2440  3   15 
      293.5        0.6      1.855      0.007                      O2440  3   16 
      499.1        1.4      1.026      0.005                      O2440  3   17 
      597.2        0.4      0.667      0.004                      O2440  3   18 
      648.8        0.4      2.209      0.007                      O2440  3   19 
      745.3        0.8      0.642      0.004                      O2440  3   20 
      861.2        0.1      33.69       0.03                      O2440  3   21 
      878.8        0.5      0.774      0.012                      O2440  3   22 
      901.1        0.1      11.29       0.02                      O2440  3   23 
      938.2        0.3      0.838       0.06                      O2440  3   24 
      959.4        0.5      0.435      0.004                      O2440  3   25 
      993.2        0.4      0.987      0.005                      O2440  3   26 
     1002.3        0.3      5.970      0.012                      O2440  3   27 
     1033.3        0.5      0.636      0.005                      O2440  3   28 
     1077.2        0.1      11.14       0.02                      O2440  3   29 
     1090.3        0.1      13.83       0.02                      O2440  3   30 
     1115.7        0.5      1.230      0.007                      O2440  3   31 
     1131.9        0.1      31.27       0.05                      O2440  3   32 
     1138.1        0.1      29.97       0.05                      O2440  3   33 
     1179.9        0.4      1.386      0.006                      O2440  3   34 
     1202.8        0.2      12.23       0.02                      O2440  3   35 
     1224.3        0.2      20.14       0.03                      O2440  3   36 
     1232.0        0.5       3.31       0.02                      O2440  3   37 
     1261.6        0.6      0.597      0.005                      O2440  3   38 
     1283.6        0.2      4.286      0.013                      O2440  3   39 
     1318.7        0.1      1.393      0.007                      O2440  3   40 
     1325.6        0.8      0.426      0.008                      O2440  3   41 
     1340.5        0.6      0.375      0.004                      O2440  3   42 
     1368.8        1.1       0.95       0.02                      O2440  3   43 
     1375.0        0.6       1.44       0.02                      O2440  3   44 
     1407.5        0.6      0.685      0.006                      O2440  3   45 
     1441.4        0.1      2.489      0.009                      O2440  3   46 
     1456.5        0.1      2.698      0.011                      O2440  3   47 
     1464.1        0.7      0.685      0.009                      O2440  3   48 
     1473.0        0.5      0.497      0.010                      O2440  3   49 
     1479.2        0.3      3.292      0.011                      O2440  3   50 
     1488.4        0.4      0.717      0.014                      O2440  3   51 
     1515.1        0.4      0.539      0.006                      O2440  3   52 
     1528.6        0.6      0.983      0.006                      O2440  3   53 
     1540.1        0.1      2.584      0.009                      O2440  3   54 
     1550.3        0.6      0.680      0.010                      O2440  3   55 
     1559.0        0.1      4.033      0.011                      O2440  3   56 
     1575.5        0.1      17.48       0.02                      O2440  3   57 
     1588.0        0.6      0.941      0.010                      O2440  3   58 
     1612.6        0.2      2.101      0.009                      O2440  3   59 
     1626.6        0.9      0.306      0.009                      O2440  3   60 
     1633.6        0.3       0.55       0.04                      O2440  3   61 
     1638.6        0.6      2.072      0.015                      O2440  3   62 
     1647.6        0.4      2.511      0.009                      O2440  3   63 
     1669.5        0.9       0.89       0.02                      O2440  3   64 
     1674.1        0.4       1.86       0.02                      O2440  3   65 
     1686.2        0.4      0.432      0.006                      O2440  3   66 
     1712.1        0.2      3.309      0.011                      O2440  3   67 
     1723.5        0.1      4.710      0.014                      O2440  3   68 
     1752.7        0.2      1.121      0.008                      O2440  3   69 
     1774.8        0.1      12.28       0.02                      O2440  3   70 
     1800.2        0.2      0.916      0.007                      O2440  3   71 
     1807.4        0.2      1.298      0.008                      O2440  3   72 
     1821.9        0.1       2.31       0.02                      O2440  3   73 
     1860.8        0.1      2.802      0.009                      O2440  3   74 
     1887.3        0.1      4.469      0.011                      O2440  3   75 
     1904.1        0.1      1.245      0.007                      O2440  3   76 
     1919.5        0.6      0.808      0.013                      O2440  3   77 
     1925.4        0.3      2.829      0.012                      O2440  3   78 
     1934.2        0.1      12.65       0.02                      O2440  3   79 
     1946.4        0.3      1.292      0.012                      O2440  3   80 
     1954.2        0.3      2.855      0.011                      O2440  3   81 
     1967.2        1.3      0.581      0.013                      O2440  3   82 
     1973.5        0.1       3.03       0.02                      O2440  3   83 
     1980.3        0.1       2.74       0.02                      O2440  3   84 
     1987.1        0.4      0.944      0.010                      O2440  3   85 
     2016.3        0.2       2.01       0.02                      O2440  3   86 
     2020.8        0.3       4.78       0.02                      O2440  3   87 
     2030.4        0.1      4.744      0.013                      O2440  3   88 
     2040.6        0.5      2.803      0.013                      O2440  3   89 
     2050.0        0.2      1.368      0.009                      O2440  3   90 
     2060.4        0.1      5.686      0.015                      O2440  3   91 
     2076.7        0.6      0.664      0.013                      O2440  3   92 
     2083.4        0.1       8.82       0.02                      O2440  3   93 
     2092.7        0.1       4.34       0.02                      O2440  3   94 
     2105.3        0.4      1.209      0.011                      O2440  3   95 
     2112.9        0.2      0.676      0.007                      O2440  3   96 
     2143.4        0.3      1.121      0.011                      O2440  3   97 
     2151.2        0.5      0.754      0.009                      O2440  3   98 
     2184.9        0.4      0.809      0.007                      O2440  3   99 
     2195.4        0.6      1.054      0.009                      O2440  3  100 
     2209.2        0.3       2.11       0.02                      O2440  3  101 
     2219.4        0.3       2.57       0.02                      O2440  3  102 
     2235.2        0.1      1.134      0.008                      O2440  3  103 
     2279.1        0.6       2.73       0.03                      O2440  3  104 
     2284.2        0.3       2.81       0.04                      O2440  3  105 
     2289.1        0.4       2.02       0.03                      O2440  3  106 
     2309.3        0.2      1.308      0.011                      O2440  3  107 
     2335.7        0.4       8.52       0.03                      O2440  3  108 
     2357.3        0.1       2.39       0.03                      O2440  3  109 
     2371.6        0.3       3.21       0.02                      O2440  3  110 
     2377.5        0.4       2.59       0.03                      O2440  3  111 
     2381.8        0.4       5.27       0.03                      O2440  3  112 
     2401.3        0.6       3.89       0.02                      O2440  3  113 
     2417.5        0.1       5.22       0.02                      O2440  3  114 
     2450.3        0.7       6.50       0.04                      O2440  3  115 
     2460.5        0.5       1.13       0.02                      O2440  3  116 
     2470.4        0.2       3.58       0.04                      O2440  3  117 
     2474.9        0.5       3.75       0.04                      O2440  3  118 
     2490.1        0.7       2.43       0.02                      O2440  3  119 
     2504.5        0.8      1.820      0.013                      O2440  3  120 
     2510.9        0.1       6.99       0.02                      O2440  3  121 
     2524.9        0.2      0.983      0.015                      O2440  3  122 
     2563.2        0.4       1.73       0.02                      O2440  3  123 
     2588.8        0.2      2.179      0.013                      O2440  3  124 
     2640.4        0.1       5.50       0.03                      O2440  3  125 
     2644.6        0.2       7.61       0.04                      O2440  3  126 
     2664.3        0.5      2.288      0.013                      O2440  3  127 
     2672.6        0.2       4.53       0.02                      O2440  3  128 
     2683.3        0.2      4.945      0.014                      O2440  3  129 
     2695.9        0.1       7.75       0.03                      O2440  3  130 
     2709.4        0.2      1.548      0.011                      O2440  3  131 
     2721.3        0.7       1.01       0.02                      O2440  3  132 
     2733.4        0.3       2.62       0.02                      O2440  3  133 
     2746.3        0.1       5.06       0.03                      O2440  3  134 
     2755.2        0.2      1.733      0.014                      O2440  3  135 
     2769.0        0.2       3.83       0.03                      O2440  3  136 
     2793.2        0.2       2.93       0.04                      O2440  3  137 
     2803.8        0.1      3.425      0.014                      O2440  3  138 
     2816.5        0.7       1.70       0.03                      O2440  3  139 
     2823.4        0.3       3.33       0.04                      O2440  3  140 
     2835.5        0.4       1.89       0.02                      O2440  3  141 
     2842.5        0.2       2.94       0.02                      O2440  3  142 
     2847.2        0.4       1.97       0.03                      O2440  3  143 
     2852.6        0.4       3.73       0.02                      O2440  3  144 
     2885.2        0.8       1.71       0.04                      O2440  3  145 
     2888.5        0.4       2.40       0.04                      O2440  3  146 
     2975.7        0.2       1.66       0.02                      O2440  3  147 
     2990.8        0.3       3.21       0.02                      O2440  3  148 
     3000.9        0.2       3.88       0.07                      O2440  3  149 
ENDDATA            139          0                                 O2440  3  150 
ENDSUBENT          149          0                                 O2440  399999 
ENDENTRY             3          0                                 O244099999999 
