ENTRY            O0534   19991117                             0000O053400000001 
SUBENT        O0534001   19991117                             0000O053400100001 
BIB                 11         29                                 O053400100002 
TITLE      Continuum Yields from C-12(P,P') At Incident Proton    O053400100003 
           Energies  of 90 and 200 MeV.                           O053400100004 
AUTHOR     (S.V.FOERTSCH, A.A.COWLEY, J.V.PILCHER, D.M.WHITTAL,   O053400100005 
           J.J.LAWRIE, J.C.VAN STADEN, E.FRIEDLAND)               O053400100006 
INSTITUTE  (3SAFUPR)                                              O053400100007 
           (3SAFNAC)                                              O053400100008 
REFERENCE  (J,NP/A,485,258,1988)                                  O053400100009 
           (W,COWLEY,19990820) Some Comments For Data Tables.     O053400100010 
HISTORY    (19990625C)                                            O053400100011 
           (19990824U) Last checking has been done.               O053400100012 
           (19991117A) DATE is corrected                          O053400100013 
SAMPLE     The Target Consisted of 5.0 mg/cm**2 Carbon Which was  O053400100014 
           Prepared from a Concentrated Dispersion of Pure Ultra  O053400100015 
           Fine Graphite Particles in Propanol.The Uniformity in  O053400100016 
           The Thickness Close to the Centre of the Target was    O053400100017 
           Better Than 0.8%/mm.                                   O053400100018 
ADD-RES    (COMP).The Quasifree Knockout Model.                   O053400100019 
           (STRUC) Spectroscopic Factors.                         O053400100020 
DETECTOR   (TELES).The Detector Telescope Consisted of a 1000 Mum O053400100021 
           Si Detector [Del'Ta E Detector] and a 75*125 mm NaI(Tl)O053400100022 
           Detector [E Detector] with 6 Mum Havar Entrance Window.O053400100023 
           Correction For Reaction Loss from the                  O053400100024 
           NaI Detector were Performed on the Del'Ta E Versus     O053400100025 
           E-Spectra.                                             O053400100026 
FACILITY   (CYCLO,3SAFNAC)                                        O053400100027 
METHOD     (SITA)                                                 O053400100028 
           (EDE)                                                  O053400100029 
ERR-ANALYS (EN-ERR1).The Error in the Incident Energy of 90 MeV.  O053400100030 
           (EN-ERR2).The Error in the Incident Energy of 200 MeV. O053400100031 
ENDBIB              29          0                                 O053400100032 
COMMON               2          3                                 O053400100033 
EN-ERR1    EN-ERR2                                                O053400100034 
MEV        MEV                                                    O053400100035 
        0.3        0.5                                            O053400100036 
ENDCOMMON            3          0                                 O053400100037 
ENDSUBENT           36          0                                 O053400199999 
SUBENT        O0534002   19991117                             0000O053400200001 
BIB                  6          6                                 O053400200002 
REACTION   (6-C-12(P,X)1-H-1,EM,DA/DE)                            O053400200003 
EN-SEC     (E,P)                                                  O053400200004 
PART-DET   (P)                                                    O053400200005 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O053400200006 
STATUS     (TABLE).Data were Received by Ftp.                     O053400200007 
FLAG       (1.).Independent Experiment.                           O053400200008 
ENDBIB               6          0                                 O053400200009 
NOCOMMON             0          0                                 O053400200010 
DATA                 6        459                                 O053400200011 
EN         E          ANG        DATA       ERR-T      FLAG       O053400200012 
MEV        MEV        ADEG       MUB/SR/MEV MUB/SR/MEV NO-DIM     O053400200013 
       200.        50.       115.     221.11     1.6344           O053400200259 
       200.        50.       120.     197.42      1.534           O053400200260 
       200.        50.       120.   197.8251    2.99357         1.O053400200261 
       200.        50.       125.     175.81     1.4271           O053400200262 
       200.        50.       130.     152.37     1.4018           O053400200263 
       200.        50.       135.     129.16     1.2805           O053400200264 
       200.        50.       140.      126.3      2.346           O053400200265 
       200.        50.       145.      106.2      2.151           O053400200266 
       200.        50.       150.     70.668    1.78921         1.O053400200267 
       200.        50.       150.      82.33      1.894           O053400200268 
       200.        50.       155.       67.3      1.713           O053400200269 
       200.        50.       160.      56.53       1.57           O053400200270 
       200.        50.       170.     22.197    1.00276           O053400200271 
       200.        55.        60.   560.2423    5.31378           O053400200272 
       200.        55.       100.   212.7281    3.45634           O053400200273 
       200.        55.       120.   137.3178    2.77696           O053400200274 
       200.        55.       150.    42.7988    1.51846           O053400200275 
       200.        55.       170.   11.24222    0.82999           O053400200276 
       200.        60.        20.     292.79     1.7429           O053400200277 
       200.        60.        25.     292.66     1.7426           O053400200278 
       200.        60.        30.      292.9     1.7509           O053400200279 
       200.        60.        35.     289.76      1.739           O053400200280 
       200.        60.        50.     299.01     1.8613           O053400200281 
       200.        60.        55.     265.83     1.6791           O053400200282 
       200.        60.        60.   257.4245     3.2685         1.O053400200283 
       200.        60.        60.     257.61     1.6426           O053400200284 
       200.        60.        65.     244.29      1.604           O053400200285 
       200.        60.        70.     231.58     1.5892           O053400200286 
       200.        60.        75.     217.75     1.5303           O053400200287 
       200.        60.        80.     205.79     1.4765           O053400200288 
       200.        60.        85.     185.54     1.4078           O053400200289 
       200.        60.        90.     169.34     1.3931           O053400200290 
       200.        60.        95.     150.25     1.2885           O053400200291 
       200.        60.       100.     132.77     1.2122           O053400200292 
       200.        60.       100.    136.286    2.37821         1.O053400200293 
       200.        60.       105.     112.62     1.1004           O053400200294 
       200.        60.       110.     93.095     1.0606           O053400200295 
       200.        60.       115.     77.128    0.94787           O053400200296 
       200.        60.       120.     63.422    0.84714           O053400200297 
       200.        60.       120.     64.076    1.63069         1.O053400200298 
       200.        60.       125.     50.985    0.74497           O053400200299 
       200.        60.       130.      53.76     0.7547           O053400200300 
       200.        60.       135.      40.89     0.6582           O053400200301 
       200.        60.       140.      30.88      0.572           O053400200302 
       200.        60.       145.      25.47     0.5194           O053400200303 
       200.        60.       150.    15.8945    0.81217         1.O053400200304 
       200.        60.       150.      18.42     0.4418           O053400200305 
       200.        60.       155.       14.9     0.3973           O053400200306 
       200.        60.       160.      9.132      0.311           O053400200307 
       200.        60.       170.       1.66    0.26247           O053400200308 
       200.        65.        60.   193.3135    2.38804           O053400200309 
       200.        65.       100.    76.0215    1.49754           O053400200310 
       200.        65.       120.    34.6625    1.01121           O053400200311 
       200.        65.       150.      6.785    0.44739           O053400200312 
       200.        65.       170.     0.5015    0.12163           O053400200313 
       200.        70.        30.      267.2      1.186           O053400200314 
       200.        70.        35.      257.2      1.164           O053400200315 
       200.        70.        40.      253.3      1.155           O053400200316 
       200.        70.        45.      239.4      1.123           O053400200317 
       200.        70.        50.      229.6        1.1           O053400200318 
       200.        70.        55.      214.4      1.062           O053400200319 
