ENTRY            O0511   20080402                             O036O051100000001 
SUBENT        O0511001   20080402                             O036O051100100001 
BIB                 13         35                                 O051100100002 
TITLE      Continuum protons from the inclusive reaction          O051100100003 
           Au-197(p,p') at incident energies between 100 and      O051100100004 
            200 MeV.                                              O051100100005 
AUTHOR     (A.A.Cowley, S.V.Fortsch, J.J.Lawrie, D.M.Whittal,     O051100100006 
           F.D.Smit, J.V.Pilcher)                                 O051100100007 
INSTITUTE  (3SAFNAC)                                              O051100100008 
REFERENCE  (J,ZP/A,336,189,1990)                                  O051100100009 
           (J,PR/C,48,743,1993)                                   O051100100010 
           (J,EUL,13,37,1990)                                     O051100100011 
HISTORY    (19990323C)                                            O051100100012 
           (19990516U) Last checking has been done.               O051100100013 
           (19991117A) Date is corrected                          O051100100014 
           (20080402A) New references was added as reported       O051100100015 
            S.Dunaeva.                                            O051100100016 
REL-REF    (R,,J.V.PILCHER+,J,PR/C,40,1937,1989).Details of       O051100100017 
           experiments.                                           O051100100018 
SAMPLE     A high purity (99.9%) gold foil of thickness 4.02+-    O051100100019 
            4.02+-0.10 mg/cm**2,with a uniformity of better than  O051100100020 
           0.5%/mm, were used as target.                          O051100100021 
ADD-RES    (COMP).The phenomenological parametrization of Kalbach.O051100100022 
DETECTOR   (TELES).The detector telescope consisted of a 1000 mum O051100100023 
           Si(delta-E) detector, followed by a 75*125 mm          O051100100024 
           NaI(E) detector. Correction for reaction loss from the O051100100025 
           NaI detector were performed on the delta-E versus      O051100100026 
           E-spectra.                                             O051100100027 
FACILITY   (CYCLO,3SAFNAC)                                        O051100100028 
METHOD     (SITA)                                                 O051100100029 
           (EDE)                                                  O051100100030 
ERR-ANALYS (ERR-1).A systematic error in the cross section        O051100100031 
           measurements.                                          O051100100032 
           (ERR-2).A relative uncertainty in the cross section    O051100100033 
           measurements.                                          O051100100034 
           (EN-ERR).The uncertainty is reported by authors.       O051100100035 
           Less than 0.5 MeV.                                     O051100100036 
STATUS     (TABLE) From A.A. Cowley.                              O051100100037 
ENDBIB              35          0                                 O051100100038 
COMMON               3          3                                 O051100100039 
EN-ERR     ERR-1      ERR-2                                       O051100100040 
MEV        PER-CENT   PER-CENT                                    O051100100041 
        0.5        10.         8.                                 O051100100042 
ENDCOMMON            3          0                                 O051100100043 
ENDSUBENT           42          0                                 O051100199999 
SUBENT        O0511002   19991117                             0000O051100200001 
BIB                  4          4                                 O051100200002 
REACTION   (79-AU-197(P,INL)79-AU-197,EM,DA/DE)                   O051100200003 
EN-SEC     (E,P)                                                  O051100200004 
PART-DET   (P)                                                    O051100200005 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O051100200006 
ENDBIB               4          0                                 O051100200007 
NOCOMMON             0          0                                 O051100200008 
DATA                 5        424                                 O051100200009 
EN         ANG        E          DATA       ERR-T                 O051100200010 
       150.        60.       100.    0.55062    0.01349           O051100200220 
       150.        60.       110.    0.35583    0.01085           O051100200221 
       150.        60.       120.     0.1885     0.0079           O051100200222 
       150.        70.        60.     0.9371     0.0124           O051100200223 
       150.        70.        80.    0.53382    0.00936           O051100200224 
       150.        70.       100.    0.21156    0.00589           O051100200225 
       150.        70.       110.    0.11086    0.00426           O051100200226 
       150.        70.       120.    0.05232    0.00293           O051100200227 
       150.        80.        60.    0.58328    0.00847           O051100200228 
       150.        80.        80.    0.27272    0.00579           O051100200229 
       150.        80.       100.    0.08161    0.00317           O051100200230 
       150.        80.       110.    0.04289     0.0023           O051100200231 
       150.        80.       120.    0.01561    0.00139           O051100200232 
       150.        90.        60.    0.37874    0.00563           O051100200233 
       150.        90.        80.    0.15284    0.00358           O051100200234 
       150.        90.       100.    0.03833    0.00179           O051100200235 
       150.        90.       110.    0.01925    0.00254           O051100200236 
       150.        90.       120.    0.00678    0.00075           O051100200237 
       150.       100.        60.    0.22319    0.00344           O051100200238 
       150.       100.        80.    0.07967    0.00206           O051100200239 
       150.       100.       100.    0.02058    0.00104           O051100200240 
       150.       100.       110.    0.00812    0.00066           O051100200241 
       150.       100.       120.    0.00276    0.00038           O051100200242 
       150.       120.        60.    0.09971    0.00416           O051100200243 
       150.       120.        80.     0.0274    0.00218           O051100200244 
       150.       120.       100.    0.00451    0.00088           O051100200245 
       150.       120.       110.    0.00225    0.00063           O051100200246 
       150.       120.       120.    0.00104    0.00042           O051100200247 
       175.        15.        60.    2.81183    0.05389           O051100200248 
       175.        15.       100.    2.44511    0.05026           O051100200249 
       175.        15.       120.    2.56494    0.05147           O051100200250 
       175.        15.       130.     2.5794    0.05162           O051100200251 
       175.        15.       140.    2.74158    0.05322           O051100200252 
       175.        15.       150.    2.75088    0.05331           O051100200253 
       175.        15.       160.     2.6982    0.05279           O051100200254 
       175.        20.        60.    2.46338    0.05042           O051100200255 
       175.        20.       100.    2.28794    0.04859           O051100200256 
       175.        20.       120.    2.38805    0.04964           O051100200257 
       175.        20.       130.     2.5831    0.05163           O051100200258 
       175.        20.       140.     2.5769    0.05157           O051100200259 
       175.        20.       150.    2.64708    0.05227           O051100200260 
       175.        20.       160.    2.48609    0.05065           O051100200261 
       175.        25.        60.    2.48352    0.04788           O051100200262 
       175.        25.       100.    2.38662    0.04693           O051100200263 
       175.        25.       120.    2.40969    0.04716           O051100200264 
       175.        25.       130.    2.26664    0.04574           O051100200265 
       175.        25.       140.    2.49368    0.04797           O051100200266 
       175.        25.       150.    2.12821    0.04432           O051100200267 
       175.        25.       160.    1.90025    0.04188           O051100200268 
       175.        30.        60.    2.36208    0.04318           O051100200269 
       175.        30.       100.    2.18293    0.04151           O051100200270 
       175.        30.       120.    2.22791    0.04193           O051100200271 
       175.        30.       130.    2.02588    0.03999           O051100200272 
       175.        30.       140.    1.84752    0.03818           O051100200273 
       175.        30.       150.    1.57761    0.03529           O051100200274 
       175.        30.       160.    1.22484    0.03109           O051100200275 
       175.        35.        60.    2.28582    0.03706           O051100200276 
       175.        35.       100.    2.08272    0.03538           O051100200277 
       175.        35.       120.    1.84116    0.03326           O051100200278 
       175.        35.       130.     1.6687    0.03167           O051100200279 
       175.        35.       140.     1.5347    0.03037           O051100200280 
       175.        35.       150.    1.14832    0.02627           O051100200281 
       175.        35.       160.    0.82744     0.0223           O051100200282 
       175.        40.        60.    2.26459    0.03348           O051100200283 
       175.        40.       100.     1.9101    0.03075           O051100200284 
       175.        40.       120.    1.51402    0.02738           O051100200285 
       175.        40.       130.    1.31845    0.02555           O051100200286 
       175.        40.       140.    1.04021    0.02269           O051100200287 
       175.        40.       150.    0.82682    0.02023           O051100200288 
       175.        40.       160.    0.54164    0.01638           O051100200289 
       175.        45.        60.    2.06528    0.03723           O051100200290 
       175.        45.       100.     1.5102    0.03184           O051100200291 
       175.        45.       120.    1.11688    0.02738           O051100200292 
       175.        45.       130.    0.93028    0.02499           O051100200293 
       175.        45.       140.    0.68395    0.02143           O051100200294 
       175.        45.       150.    0.44366    0.01726           O051100200295 
       175.        45.       160.    0.28996    0.01395           O051100200296 
       175.        50.        60.    1.92128    0.03039           O051100200297 
       175.        50.       100.    1.23469    0.02436           O051100200298 
       175.        50.       120.    0.77265    0.01927           O051100200299 
       175.        50.       130.    0.63129    0.01742           O051100200300 
       175.        50.       140.    0.43705     0.0145           O051100200301 
       175.        50.       150.    0.28319    0.01167           O051100200302 
       175.        50.       160.    0.14809    0.00844           O051100200303 
       175.        55.        60.    1.72739    0.02757           O051100200304 
       175.        55.       100.    0.97306    0.02069           O051100200305 
       175.        55.       120.    0.57961    0.01597           O051100200306 
       175.        55.       130.    0.41281    0.01348           O051100200307 
       175.        55.       140.    0.25966    0.01069           O051100200308 
       175.        55.       150.    0.15051    0.01628           O051100200309 
       175.        55.       160.    0.05457     0.0049           O051100200310 
       175.        60.        60.    1.48218    0.02325           O051100200311 
       175.        60.       100.    0.71063     0.0161           O051100200312 
       175.        60.       120.    0.35386    0.01136           O051100200313 
       175.        60.       130.    0.22253    0.00901           O051100200314 
       175.        60.       140.    0.11747    0.00655           O051100200315 
       175.        60.       150.    0.05217    0.00436           O051100200316 
