EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              O177500200011 
MEV        MEV        ADEG       MB/SR      PER-CENT              O177500200012 
    6.25000    1.45000   28.70000    0.04800    8.00000           O177500300043 
    6.25000    1.45000   35.80000    0.05100   12.00000           O177500300044 
    6.25000    1.45000   43.20000    0.02900   10.00000           O177500300045 
    6.25000    1.45000   50.70000    0.01650   18.00000           O177500300046 
    6.25000    1.45000   58.70000    0.02000   15.00000           O177500300047 
    6.25000    1.66000    0.00000    0.06400   14.00000           O177500300048 
    6.25000    1.66000    8.80000    0.03800   21.00000           O177500300049 
    6.25000    1.66000   15.80000    0.03400   18.00000           O177500300050 
    6.25000    1.66000   23.10000    0.01700   40.00000           O177500300051 
    6.25000    1.66000   30.80000    0.02500   60.00000           O177500300052 
    6.25000    1.66000   38.50000    0.00800   50.00000           O177500300053 
    6.25000    1.93000    0.00000    0.05900   14.00000           O177500300054 
    6.25000    1.93000    8.40000    0.06100   20.00000           O177500300055 
    6.25000    1.93000   15.10000    0.05200   17.00000           O177500300056 
    6.25000    1.93000   22.50000    0.01100   40.00000           O177500300057 
    6.25000    1.93000   57.80000    0.00610   30.00000           O177500300058 
    6.25000    1.93000   65.20000    0.00630   30.00000           O177500300059 
    6.25000    2.56000    0.00000    0.04200   24.00000           O177500300060 
    6.25000    2.56000    7.70000    0.04600   26.00000           O177500300061 
    6.25000    2.56000   14.90000    0.02000   25.00000           O177500300062 
    6.25000    2.56000   22.30000    0.02100   29.00000           O177500300063 
    6.25000    2.56000   30.00000    0.00690   30.00000           O177500300064 
    6.25000    2.56000   37.10000    0.00550   30.00000           O177500300065 
    6.25000    2.56000   60.30000    0.00530   30.00000           O177500300066 
    6.25000    2.78000    0.00000    0.19500    8.00000           O177500300067 
    6.25000    2.78000    8.10000    0.17400   14.00000           O177500300068 
    6.25000    2.78000   14.80000    0.10700   14.00000           O177500300069 
    6.25000    2.78000   22.00000    0.05000   12.00000           O177500300070 
    6.25000    2.78000   29.20000    0.03000   13.00000           O177500300071 
    6.25000    2.78000   75.40000    0.03100   16.00000           O177500300072 
    6.25000    2.83000    0.00000    0.03030    7.00000           O177500300073 
    6.25000    2.83000    5.80000    0.04000   20.00000           O177500300074 
    6.25000    2.83000   13.10000    0.06400    6.00000           O177500300075 
    6.25000    2.83000   20.60000    0.15400    9.00000           O177500300076 
    6.25000    2.83000   27.50000    0.21000   10.00000           O177500300077 
    6.25000    2.83000   35.00000    0.25900    7.00000           O177500300078 
    6.25000    2.83000   42.20000    0.22700    7.00000           O177500300079 
    6.25000    2.83000   50.30000    0.19800    9.00000           O177500300080 
    6.25000    2.83000   58.00000    0.15500    8.00000           O177500300081 
    6.25000    2.83000   65.90000    0.08800    7.00000           O177500300082 
    6.25000    2.83000   73.30000    0.06200   13.00000           O177500300083 
    6.25000    2.83000   80.30000    0.07300   11.00000           O177500300084 
    6.25000    2.83000   87.40000    0.08200   10.00000           O177500300085 
    6.25000    2.83000   95.50000    0.07500   12.00000           O177500300086 
    6.25000    2.83000  102.70000    0.05800   14.00000           O177500300087 
    6.25000    3.52000    0.00000    0.08700   11.00000           O177500300088 
    6.25000    3.52000    7.30000    0.06200   23.00000           O177500300089 
    6.25000    3.52000   14.90000    0.02900   21.00000           O177500300090 
    6.25000    3.52000   22.50000    0.02100   24.00000           O177500300091 
    6.25000    3.52000   29.30000    0.01030   18.00000           O177500300092 
    6.25000    3.65000    0.00000    0.02100   24.00000           O177500300093 
    6.25000    3.65000    8.50000    0.02200   23.00000           O177500300094 
    6.25000    3.65000   16.00000    0.04400   23.00000           O177500300095 
    6.25000    3.65000   23.50000    0.04300   16.00000           O177500300096 
    6.25000    3.65000   30.50000    0.06900   16.00000           O177500300097 
    6.25000    3.65000   38.50000    0.09200   11.00000           O177500300098 
    6.25000    3.81000    0.00000    0.16900    9.00000           O177500300099 
    6.25000    3.81000    8.30000    0.12200   11.00000           O177500300100 
    6.25000    3.81000   15.80000    0.07200   17.00000           O177500300101 
    6.25000    3.81000   23.60000    0.02900   14.00000           O177500300102 
    6.25000    3.81000   31.40000    0.01400   29.00000           O177500300103 
    6.25000    4.04000    0.00000    0.36000   17.00000           O177500300104 
    6.25000    4.04000    9.00000    0.23000   17.00000           O177500300105 
    6.25000    4.04000   16.00000    0.10300   20.00000           O177500300106 
    6.25000    4.74000    0.00000    0.26000   15.00000           O177500300107 
    6.25000    4.74000    8.10000    0.30000   17.00000           O177500300108 
    6.25000    4.74000   16.00000    0.20000   15.00000           O177500300109 
    6.25000    4.74000   23.40000    0.03700   40.00000           O177500300110 
    6.25000    4.74000   30.80000    0.01300   40.00000           O177500300111 
    6.25000    5.22000    0.00000    0.14700   15.00000           O177500300112 
    6.25000    5.22000    8.40000    0.09100   15.00000           O177500300113 
    6.25000    5.22000   15.40000    0.08700   18.00000           O177500300114 
    6.25000    5.22000   23.20000    0.03000   27.00000           O177500300115 
    6.25000    5.35000    0.00000    0.27000   22.00000           O177500300116 
    6.25000    5.35000    8.30000    0.34000   21.00000           O177500300117 
    6.25000    5.35000   15.30000    0.36000   25.00000           O177500300118 
    6.25000    5.35000   23.10000    0.03900   50.00000           O177500300119 
    7.00000    0.00000    0.00000    0.36300    5.00000           O177500300120 
    7.00000    0.00000    7.20000    0.41800                      O177500300121 
    7.00000    0.00000   14.00000    0.39000    7.00000           O177500300122 
    7.00000    0.00000   22.10000    0.34900    6.00000           O177500300123 
    7.00000    0.00000   29.30000    0.34000    9.00000           O177500300124 
    7.00000    0.00000   36.60000    0.25400    8.00000           O177500300125 
    7.00000    0.00000   44.30000    0.19800    7.00000           O177500300126 
    7.00000    0.00000   52.50000    0.17700    4.00000           O177500300127 
    7.00000    0.00000   59.60000    0.17700    8.00000           O177500300128 
    7.00000    0.00000   67.20000    0.19600    6.00000           O177500300129 
    7.00000    0.00000   74.90000    0.16800    8.00000           O177500300130 
    7.00000    0.00000   82.70000    0.12900    8.00000           O177500300131 
    7.00000    0.00000   89.60000    0.08700   10.00000           O177500300132 
    7.00000    0.00000   97.90000    0.04200   17.00000           O177500300133 
    7.00000    0.00000  104.80000    0.03100   23.00000           O177500300134 
    7.00000    0.00000  112.40000    0.03500   23.00000           O177500300135 
    7.00000    0.00000  120.00000    0.03200   25.00000           O177500300136 
    7.00000    0.00000  128.10000    0.03100   26.00000           O177500300137 
    7.00000    0.03900    0.00000    0.03800   18.00000           O177500300138 
    7.00000    0.03900    8.40000    0.05400   24.00000           O177500300139 
    7.00000    0.03900   15.90000    0.07700   25.00000           O177500300140 
    7.00000    0.03900   24.00000    0.06500   28.00000           O177500300141 
    7.00000    0.03900   30.80000    0.03600   17.00000           O177500300142 
    7.00000    0.03900   52.70000    0.02500   16.00000           O177500300143 
    7.00000    0.64800    0.00000    0.01690   12.00000           O177500300144 
    7.00000    0.64800    8.50000    0.02060    8.00000           O177500300145 
    7.00000    0.64800   14.50000    0.03000    5.00000           O177500300146 
    7.00000    0.64800   22.60000    0.04790    6.00000           O177500300147 
    7.00000    0.64800   29.30000    0.03710    8.00000           O177500300148 
    7.00000    0.64800   36.70000    0.04600    7.00000           O177500300149 
    7.00000    0.64800   44.70000    0.04000   10.00000           O177500300150 
    7.00000    0.64800   51.50000    0.02500   16.00000           O177500300151 
    7.00000    0.64800   59.30000    0.03500   14.00000           O177500300152 
    7.00000    0.64800   66.90000    0.02700   15.00000           O177500300153 
    7.00000    1.45000    0.00000    0.03500   14.00000           O177500300154 
    7.00000    1.45000    7.80000    0.03100   29.00000           O177500300155 
    7.00000    1.45000   15.00000    0.06800   16.00000           O177500300156 
    7.00000    1.45000   22.00000    0.07200   18.00000           O177500300157 
    7.00000    1.45000   29.40000    0.07500   16.00000           O177500300158 
    7.00000    1.45000   37.40000    0.07700   16.00000           O177500300159 
    7.00000    1.45000   44.80000    0.03200   28.00000           O177500300160 
    7.00000    1.45000   52.10000    0.02000   30.00000           O177500300161 
    7.00000    1.45000   67.00000    0.02300   26.00000           O177500300162 
    7.00000    1.45000   89.00000    0.02000   40.00000           O177500300163 
    7.00000    1.66000    0.00000    0.09200    8.00000           O177500300164 
    7.00000    1.66000    3.90000    0.07800   12.00000           O177500300165 
    7.00000    1.66000   10.70000    0.05200   10.00000           O177500300166 
    7.00000    1.66000   19.30000    0.01340   17.00000           O177500300167 
    7.00000    1.93000    0.00000    0.06200   13.00000           O177500300168 
    7.00000    1.93000    4.70000    0.06300   14.00000           O177500300169 
    7.00000    1.93000   11.80000    0.04900   16.00000           O177500300170 
    7.00000    1.93000   19.50000    0.03300   18.00000           O177500300171 
    7.00000    2.56000    0.00000    0.07000   11.00000           O177500300172 
    7.00000    2.56000    4.90000    0.06300   13.00000           O177500300173 
