ENTRY            O1146   20140205                             O052O114600000001 
SUBENT        O1146001   20140205                             O052O114600100001 
BIB                 10         26                                 O114600100002 
TITLE      Neutron and light charged particle productions in      O114600100003 
           proton induced reactions on Pb-208 at 62.9-MeV.        O114600100004 
AUTHOR     (A.Guertin, N.Marie, S.Auduc, V.Blideanu, Th.Delbar,   O114600100005 
           P.Eudes, Y.Foucher, F.Haddad, T.Kirchner, Ch.Le Brun,  O114600100006 
           C.Lebrun, F.R.Lecolley, J.F.Lecolley, X.Ledoux,        O114600100007 
           F.Lefebvres, T.Lefort, M.Louvel, A.Ninane, Y.Patin,    O114600100008 
           Ph.Pras, G.Riviere, C.Varignon)                        O114600100009 
INSTITUTE  (2FR NTE) Nantes CEDEX, Laboratoire Subatech           O114600100010 
           (2FR CAE)                                              O114600100011 
           (2FR BRC)                                              O114600100012 
           (2BLGLVN)                                              O114600100013 
           (2NEDRCN)                                              O114600100014 
REFERENCE  (J,EPJ/A,23,49,2005)                                   O114600100015 
           (W,MARIE,20040315) All data were taken from it.        O114600100016 
SAMPLE     An enriched Pb-208 target, of 10.7 mg/cm**2 thick,     O114600100017 
           was used.                                              O114600100018 
ADD-RES    (COMP) Theoretical calculations MCNPX, FLUKA, TALYS.   O114600100019 
FACILITY   (CYCLO,2BLGLVN)                                        O114600100020 
STATUS     (TABLE) Tables were received from M.Kellett.           O114600100021 
COMMENT    - By compiler. Zeros values were excluded from         O114600100022 
           authors' tables.                                       O114600100023 
HISTORY    (20040318C)                                            O114600100024 
           (20050311A) Reference and authors' list are corrected. O114600100025 
           (20050523U) Last checking has been done.               O114600100026 
           (20140205A) SD: Authors' name corrected. Subents  20-25O114600100027 
           were added.                                            O114600100028 
ENDBIB              26          0                                 O114600100029 
COMMON               1          3                                 O114600100030 
EN                                                                O114600100031 
MEV                                                               O114600100032 
       62.9                                                       O114600100033 
ENDCOMMON            3          0                                 O114600100034 
ENDSUBENT           33          0                                 O114600199999 
SUBENT        O1146002   20040411                             0000O114600200001 
BIB                  5         13                                 O114600200002 
REACTION   (82-PB-208(P,X)1-H-1,EM,DA/DE)                         O114600200003 
EN-SEC     (E,P)                                                  O114600200004 
METHOD     (EDE)                                                  O114600200005 
DETECTOR   (TELES,SOLST,SOLST,CSICR) Seven triple telescopes.     O114600200006 
           Each telescope consisted of two silicon detectors,     O114600200007 
           80-mum thick and 300 or 500-mum thick, backed by a one O114600200008 
           inch diameter and 80-mm thick CsI(Tl) crystal.         O114600200009 
ERR-ANALYS (ERR-1) The systematic error is derived                O114600200010 
           from:                                                  O114600200011 
           (ERR-2) Beam monitoring-5%,                            O114600200012 
           (ERR-3) Solid angle corrections-1%,                    O114600200013 
           (ERR-4) Number of target nuclei-3%.                    O114600200014 
           (ERR-S) The statistical error is given by authors.     O114600200015 
ENDBIB              13          0                                 O114600200016 
COMMON               4          3                                 O114600200017 
        65.        45.   7.34E-03   3.81E-04                      O114600200656 
        65.        55.   5.14E-03    2.9E-04                      O114600200657 
        65.        95.   1.62E-03   2.55E-04                      O114600200658 
        66.        25.   1.65E-01   1.82E-03                      O114600200659 
        66.        35.   4.79E-02   8.82E-04                      O114600200660 
        66.        55.   1.15E-03   1.34E-04                      O114600200661 
        67.        25.   4.92E-02   9.91E-04                      O114600200662 
        67.        35.   1.67E-02   5.21E-04                      O114600200663 
        68.        25.    2.1E-02   6.49E-04                      O114600200664 
        68.        35.   6.97E-03   3.36E-04                      O114600200665 
        69.        25.   1.05E-02   4.57E-04                      O114600200666 
        69.        35.    4.2E-03   2.63E-04                      O114600200667 
        70.        25.   3.72E-03   2.72E-04                      O114600200668 
        70.        35.   1.05E-03   1.28E-04                      O114600200669 
ENDDATA            647          0                                 O114600200670 
ENDSUBENT          669          0                                 O114600299999 
SUBENT        O1146003   20040411                             0000O114600300001 
BIB                  5         13                                 O114600300002 
REACTION   (82-PB-208(P,X)1-H-2,,DA/DE)                           O114600300003 
EN-SEC     (E,D)                                                  O114600300004 
METHOD     (EDE)                                                  O114600300005 
DETECTOR   (TELES,SOLST,SOLST,CSICR) Seven triple telescopes.     O114600300006 
           Each telescope consisted of two silicon detectors,     O114600300007 
           80-mum thick and 300 or 500-mum thick, backed by a one O114600300008 
           inch diameter and 80-mm thick CsI(Tl) crystal.         O114600300009 
ERR-ANALYS (ERR-1) The systematic error is derived                O114600300010 
           from:                                                  O114600300011 
           (ERR-2) Beam monitoring-5%,                            O114600300012 
           (ERR-3) Solid angle corrections-1%,                    O114600300013 
           (ERR-4) Number of target nuclei-3%.                    O114600300014 
           (ERR-S) The statistical error is given by authors.     O114600300015 
ENDBIB              13          0                                 O114600300016 
COMMON               4          3                                 O114600300017 
ERR-1      ERR-2      ERR-3      ERR-4                            O114600300018 
PER-CENT   PER-CENT   PER-CENT   PER-CENT                         O114600300019 
         6.         5.         1.         3.                      O114600300020 
ENDCOMMON            3          0                                 O114600300021 
DATA                 4        571                                 O114600300022 
E          ANG        DATA       ERR-S                            O114600300023 
MEV        ADEG       MB/SR/MEV  MB/SR/MEV                        O114600300024 
         5.        25.   3.78E-03   2.73E-04                      O114600300025 
         5.        35.   2.48E-03     2.E-04                      O114600300026 
         5.        65.    3.7E-03   2.67E-04                      O114600300027 
         5.        75.   3.12E-03   2.24E-04                      O114600300028 
         5.        85.   5.48E-03   3.31E-04                      O114600300029 
         5.        95.   2.93E-03   1.79E-04                      O114600300030 
         5.       155.   3.26E-03                                 O114600300031 
         6.        25.   4.35E-02   9.35E-04                      O114600300032 
         6.        35.   3.26E-02    7.3E-04                      O114600300033 
         6.        45.   1.37E-02   5.19E-04                      O114600300034 
         6.        55.   1.08E-02    4.2E-04                      O114600300035 
         6.        65.   1.59E-02    5.6E-04                      O114600300036 
         6.        75.   1.24E-02   4.44E-04                      O114600300037 
         6.        85.   1.09E-02   4.63E-04                      O114600300038 
         6.        95.   1.32E-02   4.59E-04                      O114600300039 
         6.       115.     5.E-03   6.71E-04                      O114600300040 
         6.       135.   4.66E-03   1.94E-04                      O114600300041 
         6.       155.   5.48E-03                                 O114600300042 
         7.        25.   5.88E-02   9.87E-04                      O114600300043 
         7.        35.    4.7E-02   7.74E-04                      O114600300044 
         7.        45.     2.E-02   6.28E-04                      O114600300045 
         7.        55.   2.67E-02   5.22E-04                      O114600300046 
         7.        65.   2.01E-02   6.28E-04                      O114600300047 
         7.        75.   1.71E-02   5.24E-04                      O114600300048 
         7.        85.    1.9E-02   6.14E-04                      O114600300049 
         7.        95.   1.93E-02    5.4E-04                      O114600300050 
         7.       115.   8.22E-03   8.28E-04                      O114600300051 
         7.       135.   8.42E-03   2.58E-04                      O114600300052 
         7.       155.   1.09E-02                                 O114600300053 
         8.        25.   7.08E-02   1.11E-03                      O114600300054 
         8.        35.   6.87E-02   8.93E-04                      O114600300055 
         8.        45.   4.07E-02    7.8E-04                      O114600300056 
         8.        55.   4.46E-02    6.3E-04                      O114600300057 
         8.        65.   3.25E-02   8.01E-04                      O114600300058 
         8.        75.   2.64E-02   6.52E-04                      O114600300059 
         8.        85.   3.65E-02   8.45E-04                      O114600300060 
         8.        95.   3.21E-02   6.83E-04                      O114600300061 
         8.       115.   1.47E-02   9.46E-04                      O114600300062 
         8.       135.   1.32E-02   3.85E-04                      O114600300063 
         8.       155.   2.12E-02                                 O114600300064 
         9.        25.   9.81E-02    1.4E-03                      O114600300065 
         9.        35.   8.45E-02   1.17E-03                      O114600300066 
         9.        45.   7.54E-02   1.22E-03                      O114600300067 
         9.        55.   6.48E-02   1.03E-03                      O114600300068 
         9.        65.   6.17E-02    1.1E-03                      O114600300069 
         9.        75.   5.29E-02   9.24E-04                      O114600300070 
         9.        85.    5.4E-02   6.88E-04                      O114600300071 
         9.        95.   4.49E-02    8.2E-04                      O114600300072 
         9.       115.   2.71E-02   1.64E-03                      O114600300073 
         9.       135.   1.95E-02   4.08E-04                      O114600300074 
         9.       155.   3.17E-02                                 O114600300075 
        10.        25.   1.66E-01   1.82E-03                      O114600300076 
        10.        35.   1.41E-01   1.51E-03                      O114600300077 
        10.        45.   8.99E-02   1.34E-03                      O114600300078 
        10.        55.   7.69E-02   1.11E-03                      O114600300079 
        10.        65.   1.07E-01   1.45E-03                      O114600300080 
        10.        75.   9.07E-02   1.21E-03                      O114600300081 
        10.        85.   8.15E-02     1.E-03                      O114600300082 
        10.        95.   7.05E-02    1.1E-03                      O114600300083 
        10.       115.    4.2E-02   1.77E-03                      O114600300084 
        10.       135.   2.85E-02    4.9E-04                      O114600300085 
        10.       155.   3.59E-02                                 O114600300086 
        11.        25.   2.34E-01   2.17E-03                      O114600300087 
        11.        35.   2.05E-01   1.82E-03                      O114600300088 
        11.        45.   1.05E-01   1.45E-03                      O114600300089 
        11.        55.   9.13E-02   1.21E-03                      O114600300090 
        11.        65.   1.48E-01   1.71E-03                      O114600300091 
        11.        75.   1.26E-01   1.42E-03                      O114600300092 
        11.        85.   1.15E-01   1.51E-03                      O114600300093 
        11.        95.   1.01E-01   1.32E-03                      O114600300094 
        11.       115.   5.01E-02   1.81E-03                      O114600300095 
        11.       135.   4.21E-02   5.98E-04                      O114600300096 
        11.       155.     4.E-02                                 O114600300097 
        12.        25.   2.92E-01   2.42E-03                      O114600300098 
        12.        35.   2.52E-01   2.02E-03                      O114600300099 
        12.        45.   1.51E-01   1.72E-03                      O114600300100 
        12.        55.   1.29E-01   1.44E-03                      O114600300101 
        12.        65.   1.81E-01   1.89E-03                      O114600300102 
        12.        75.   1.51E-01   1.56E-03                      O114600300103 
        12.        85.   1.52E-01   1.74E-03                      O114600300104 
        12.        95.   1.26E-01   1.45E-03                      O114600300105 
        12.       115.   5.98E-02   2.06E-03                      O114600300106 
        12.       135.   5.82E-02    6.9E-04                      O114600300107 
        12.       155.   4.77E-02                                 O114600300108 
        13.        25.   3.28E-01   2.51E-03                      O114600300109 
        13.        35.   2.79E-01   2.16E-03                      O114600300110 
        13.        45.   2.09E-01   2.03E-03                      O114600300111 
        13.        55.   1.76E-01   1.68E-03                      O114600300112 
        13.        65.   1.96E-01   1.91E-03                      O114600300113 
        13.        75.   1.65E-01   1.58E-03                      O114600300114 
        13.        85.   1.69E-01   1.83E-03                      O114600300115 
        13.        95.   1.32E-01   1.49E-03                      O114600300116 
        13.       115.    7.9E-02    2.4E-03                      O114600300117 
        13.       135.   6.42E-02   6.93E-04                      O114600300118 
        13.       155.   5.83E-02                                 O114600300119 
        14.        25.   3.48E-01   2.64E-03                      O114600300120 
        14.        35.   3.13E-01   2.25E-03                      O114600300121 
        14.        45.   2.61E-01   2.27E-03                      O114600300122 
        14.        55.   2.21E-01   1.89E-03                      O114600300123 
        14.        65.   2.14E-01   2.05E-03                      O114600300124 
        14.        75.   1.74E-01   1.68E-03                      O114600300125 
        14.        85.   1.78E-01   1.87E-03                      O114600300126 
        14.        95.   1.38E-01   1.53E-03                      O114600300127 
        14.       115.   9.18E-02   2.63E-03                      O114600300128 
        14.       135.   7.24E-02   7.59E-04                      O114600300129 
        14.       155.   5.99E-02                                 O114600300130 
        15.        25.   4.38E-01   2.95E-03                      O114600300131 
        15.        35.   3.94E-01   2.52E-03                      O114600300132 
        15.        45.   3.06E-01   2.45E-03                      O114600300133 
        15.        55.   2.55E-01   2.03E-03                      O114600300134 
        15.        65.   2.51E-01   2.23E-03                      O114600300135 
        15.        75.   2.02E-01   1.81E-03                      O114600300136 
        15.        85.   1.88E-01   1.92E-03                      O114600300137 
        15.        95.   1.48E-01   1.59E-03                      O114600300138 
        15.       115.     1.E-01    2.7E-03                      O114600300139 
        15.       135.   7.53E-02   7.75E-04                      O114600300140 
        15.       155.   5.99E-02                                 O114600300141 
        16.        25.   4.76E-01   3.08E-03                      O114600300142 
        16.        35.   4.17E-01    2.6E-03                      O114600300143 
        16.        45.   3.39E-01   2.59E-03                      O114600300144 
        16.        55.   2.83E-01   2.14E-03                      O114600300145 
        16.        65.   2.75E-01   2.33E-03                      O114600300146 
        16.        75.   2.18E-01   1.88E-03                      O114600300147 
        16.        85.   1.91E-01   1.93E-03                      O114600300148 
        16.        95.    1.5E-01   1.64E-03                      O114600300149 
        16.       115.   1.04E-01   2.75E-03                      O114600300150 
        16.       135.   7.95E-02   7.98E-04                      O114600300151 
        16.       155.   5.76E-02                                 O114600300152 
        17.        25.    5.4E-01   3.29E-03                      O114600300153 
        17.        35.    4.8E-01   2.78E-03                      O114600300154 
        17.        45.   3.77E-01   2.73E-03                      O114600300155 
        17.        55.   3.13E-01   2.25E-03                      O114600300156 
        17.        65.   2.82E-01   2.36E-03                      O114600300157 
        17.        75.   2.23E-01    1.9E-03                      O114600300158 
        17.        85.   1.93E-01   1.95E-03                      O114600300159 
        17.        95.   1.54E-01   1.65E-03                      O114600300160 
        17.       115.   1.07E-01   2.82E-03                      O114600300161 
        17.       135.   7.32E-02   7.67E-04                      O114600300162 
        17.       155.   5.64E-02                                 O114600300163 
        18.        25.   5.58E-01   3.34E-03                      O114600300164 
        18.        35.   4.94E-01   2.82E-03                      O114600300165 
        18.        45.   4.01E-01   2.81E-03                      O114600300166 
        18.        55.   3.31E-01   2.31E-03                      O114600300167 
        18.        65.   2.93E-01   2.41E-03                      O114600300168 
        18.        75.   2.27E-01   1.92E-03                      O114600300169 
        18.        85.   1.81E-01   1.89E-03                      O114600300170 
        18.        95.   1.46E-01   1.64E-03                      O114600300171 
        18.       115.   1.06E-01   2.81E-03                      O114600300172 
        18.       135.   7.12E-02   7.53E-04                      O114600300173 
        18.       155.   5.29E-02                                 O114600300174 
        19.        25.   5.79E-01    3.4E-03                      O114600300175 
        19.        35.   5.03E-01   2.85E-03                      O114600300176 
        19.        45.   4.23E-01   2.88E-03                      O114600300177 
        19.        55.    3.4E-01   2.35E-03                      O114600300178 
        19.        65.   2.95E-01   2.41E-03                      O114600300179 
        19.        75.   2.27E-01   1.92E-03                      O114600300180 
        19.        85.    1.7E-01   1.83E-03                      O114600300181 
        19.        95.   1.35E-01   1.57E-03                      O114600300182 
        19.       115.   1.02E-01   2.71E-03                      O114600300183 
        19.       135.   6.61E-02   7.26E-04                      O114600300184 
        19.       155.   4.67E-02                                 O114600300185 
        20.        25.   5.97E-01   3.45E-03                      O114600300186 
        20.        35.   5.24E-01    2.9E-03                      O114600300187 
        20.        45.   4.34E-01   2.92E-03                      O114600300188 
        20.        55.   3.49E-01   2.38E-03                      O114600300189 
        20.        65.   2.98E-01   2.43E-03                      O114600300190 
        20.        75.   2.24E-01    1.9E-03                      O114600300191 
        20.        85.    1.7E-01   1.83E-03                      O114600300192 
        20.        95.   1.33E-01   1.57E-03                      O114600300193 
        20.       115.   9.34E-02   2.64E-03                      O114600300194 
        20.       135.   6.07E-02    7.1E-04                      O114600300195 
        20.       155.   4.41E-02                                 O114600300196 
        21.        25.   6.18E-01   3.51E-03                      O114600300197 
        21.        35.   5.27E-01   2.91E-03                      O114600300198 
        21.        45.   4.54E-01   2.99E-03                      O114600300199 
        21.        55.   3.59E-01   2.41E-03                      O114600300200 
        21.        65.   2.85E-01   2.37E-03                      O114600300201 
        21.        75.   2.15E-01   1.86E-03                      O114600300202 
        21.        85.   1.63E-01   1.79E-03                      O114600300203 
        21.        95.   1.26E-01   1.51E-03                      O114600300204 
        21.       115.   9.29E-02   2.62E-03                      O114600300205 
        21.       135.    5.6E-02    6.7E-04                      O114600300206 
        21.       155.   4.16E-02                                 O114600300207 
        22.        25.   6.01E-01   3.47E-03                      O114600300208 
        22.        35.   5.18E-01    2.9E-03                      O114600300209 
        22.        45.   4.49E-01   2.97E-03                      O114600300210 
        22.        55.   3.55E-01   2.39E-03                      O114600300211 
        22.        65.   2.85E-01   2.37E-03                      O114600300212 
        22.        75.   2.11E-01   1.85E-03                      O114600300213 
        22.        85.   1.53E-01   1.74E-03                      O114600300214 
        22.        95.   1.14E-01   1.41E-03                      O114600300215 
        22.       115.   8.22E-02   2.46E-03                      O114600300216 
        22.       135.   4.88E-02   6.25E-04                      O114600300217 
        22.       155.   3.57E-02                                 O114600300218 
        23.        25.   6.31E-01   3.55E-03                      O114600300219 
        23.        35.   5.37E-01   2.94E-03                      O114600300220 
        23.        45.   4.43E-01   2.95E-03                      O114600300221 
        23.        55.   3.49E-01   2.38E-03                      O114600300222 
        23.        65.   2.71E-01   2.31E-03                      O114600300223 
        23.        75.   1.91E-01   1.76E-03                      O114600300224 
        23.        85.   1.36E-01   1.64E-03                      O114600300225 
        23.        95.   1.04E-01   1.36E-03                      O114600300226 
        23.       115.   8.02E-02   2.47E-03                      O114600300227 
        23.       135.   4.21E-02   5.82E-04                      O114600300228 
        23.       155.   3.29E-02                                 O114600300229 
        24.        25.   6.04E-01   3.48E-03                      O114600300230 
        24.        35.   4.98E-01   2.83E-03                      O114600300231 
        24.        45.    4.4E-01   2.95E-03                      O114600300232 
        24.        55.   3.48E-01   2.37E-03                      O114600300233 
        24.        65.   2.55E-01   2.24E-03                      O114600300234 
        24.        75.   1.83E-01   1.72E-03                      O114600300235 
        24.        85.   1.31E-01   1.61E-03                      O114600300236 
        24.        95.   9.66E-02   1.32E-03                      O114600300237 
        24.       115.   6.91E-02   2.25E-03                      O114600300238 
        24.       135.   3.95E-02   5.62E-04                      O114600300239 
        24.       155.   2.75E-02                                 O114600300240 
        25.        25.   6.15E-01    3.5E-03                      O114600300241 
        25.        35.   5.14E-01   2.88E-03                      O114600300242 
        25.        45.   4.31E-01   2.91E-03                      O114600300243 
        25.        55.   3.36E-01   2.33E-03                      O114600300244 
        25.        65.   2.42E-01   2.18E-03                      O114600300245 
        25.        75.   1.76E-01   1.69E-03                      O114600300246 
        25.        85.   1.23E-01   1.56E-03                      O114600300247 
        25.        95.   8.69E-02   1.23E-03                      O114600300248 
        25.       115.   6.33E-02   2.15E-03                      O114600300249 
        25.       135.   3.45E-02    5.3E-04                      O114600300250 
        25.       155.   2.55E-02                                 O114600300251 
        26.        25.   6.06E-01   3.49E-03                      O114600300252 
        26.        35.    4.9E-01   2.81E-03                      O114600300253 
        26.        45.   4.27E-01    2.9E-03                      O114600300254 
        26.        55.   3.31E-01   2.31E-03                      O114600300255 
        26.        65.    2.3E-01   2.13E-03                      O114600300256 
        26.        75.   1.65E-01   1.64E-03                      O114600300257 
        26.        85.   1.18E-01   1.53E-03                      O114600300258 
        26.        95.   8.26E-02   1.21E-03                      O114600300259 
        26.       115.   5.76E-02   2.07E-03                      O114600300260 
        26.       135.   3.04E-02   4.96E-04                      O114600300261 
        26.       155.   2.32E-02                                 O114600300262 
        27.        25.   6.22E-01   3.53E-03                      O114600300263 
        27.        35.   4.98E-01   2.84E-03                      O114600300264 
        27.        45.   4.24E-01   2.89E-03                      O114600300265 
        27.        55.   3.13E-01   2.24E-03                      O114600300266 
        27.        65.   2.18E-01   2.08E-03                      O114600300267 
        27.        75.   1.52E-01   1.57E-03                      O114600300268 
        27.        85.   1.07E-01   1.45E-03                      O114600300269 
        27.        95.   7.34E-02   1.14E-03                      O114600300270 
        27.       115.   5.16E-02   1.94E-03                      O114600300271 
        27.       135.   2.69E-02    4.6E-04                      O114600300272 
        27.       155.   1.79E-02                                 O114600300273 
        28.        25.   5.92E-01   3.44E-03                      O114600300274 
        28.        35.   4.75E-01   2.77E-03                      O114600300275 
        28.        45.   4.12E-01   2.85E-03                      O114600300276 
        28.        55.   3.08E-01   2.23E-03                      O114600300277 
        28.        65.   2.06E-01   2.02E-03                      O114600300278 
        28.        75.   1.43E-01   1.52E-03                      O114600300279 
        28.        85.   9.51E-02   1.37E-03                      O114600300280 
        28.        95.   6.43E-02   1.06E-03                      O114600300281 
        28.       115.    4.6E-02    1.8E-03                      O114600300282 
        28.       135.   2.38E-02   4.41E-04                      O114600300283 
        28.       155.   1.75E-02                                 O114600300284 
        29.        25.   5.85E-01   3.42E-03                      O114600300285 
        29.        35.   4.55E-01   2.71E-03                      O114600300286 
        29.        45.   3.97E-01    2.8E-03                      O114600300287 
        29.        55.   2.94E-01   2.18E-03                      O114600300288 
        29.        65.   1.86E-01   1.91E-03                      O114600300289 
        29.        75.   1.25E-01   1.42E-03                      O114600300290 
        29.        85.   9.15E-02   1.35E-03                      O114600300291 
        29.        95.   5.86E-02   1.04E-03                      O114600300292 
        29.       115.   4.38E-02    1.8E-03                      O114600300293 
        29.       135.   2.01E-02   4.03E-04                      O114600300294 
        29.       155.   1.44E-02                                 O114600300295 
        30.        25.    5.9E-01   3.43E-03                      O114600300296 
        30.        35.   4.51E-01    2.7E-03                      O114600300297 
        30.        45.   3.86E-01   2.76E-03                      O114600300298 
        30.        55.   2.83E-01   2.13E-03                      O114600300299 
        30.        65.   1.84E-01    1.9E-03                      O114600300300 
        30.        75.   1.24E-01   1.42E-03                      O114600300301 
        30.        85.   8.72E-02   1.31E-03                      O114600300302 
        30.        95.   5.35E-02   9.54E-04                      O114600300303 
        30.       115.    3.9E-02   1.73E-03                      O114600300304 
        30.       135.   1.71E-02   3.61E-04                      O114600300305 
        30.       155.   1.18E-02                                 O114600300306 
        31.        25.    5.5E-01   3.32E-03                      O114600300307 
        31.        35.   4.28E-01   2.63E-03                      O114600300308 
        31.        45.   3.83E-01   2.75E-03                      O114600300309 
        31.        55.    2.7E-01   2.09E-03                      O114600300310 
        31.        65.   1.65E-01   1.81E-03                      O114600300311 
        31.        75.    1.1E-01   1.33E-03                      O114600300312 
        31.        85.   7.77E-02   1.24E-03                      O114600300313 
        31.        95.   4.75E-02   9.22E-04                      O114600300314 
        31.       115.   3.15E-02    1.5E-03                      O114600300315 
        31.       135.   1.42E-02   3.38E-04                      O114600300316 
        31.       155.   1.11E-02                                 O114600300317 
        32.        25.   5.32E-01   3.26E-03                      O114600300318 
        32.        35.   4.04E-01   2.55E-03                      O114600300319 
        32.        45.   3.59E-01   2.66E-03                      O114600300320 
        32.        55.   2.57E-01   2.04E-03                      O114600300321 
        32.        65.   1.59E-01   1.77E-03                      O114600300322 
        32.        75.   1.06E-01    1.3E-03                      O114600300323 
        32.        85.   7.37E-02   1.21E-03                      O114600300324 
        32.        95.   4.37E-02   8.53E-04                      O114600300325 
        32.       115.   2.92E-02   1.46E-03                      O114600300326 
        32.       135.   1.26E-02   3.18E-04                      O114600300327 
        32.       155.   8.24E-03                                 O114600300328 
        33.        25.   5.59E-01   3.35E-03                      O114600300329 
        33.        35.   4.15E-01   2.59E-03                      O114600300330 
        33.        45.   3.53E-01   2.64E-03                      O114600300331 
        33.        55.   2.49E-01     2.E-03                      O114600300332 
        33.        65.   1.43E-01   1.68E-03                      O114600300333 
        33.        75.   9.13E-02   1.22E-03                      O114600300334 
        33.        85.   6.98E-02   1.17E-03                      O114600300335 
        33.        95.   3.92E-02   8.24E-04                      O114600300336 
        33.       115.   2.97E-02   1.54E-03                      O114600300337 
        33.       135.   1.13E-02   3.04E-04                      O114600300338 
        33.       155.   8.26E-03                                 O114600300339 
        34.        25.   5.43E-01    3.3E-03                      O114600300340 
        34.        35.   3.98E-01   2.54E-03                      O114600300341 
        34.        45.   3.26E-01   2.53E-03                      O114600300342 
        34.        55.   2.29E-01   1.93E-03                      O114600300343 
        34.        65.   1.35E-01   1.64E-03                      O114600300344 
        34.        75.   8.48E-02   1.17E-03                      O114600300345 
        34.        85.   6.08E-02    1.1E-03                      O114600300346 
        34.        95.   3.32E-02   7.32E-04                      O114600300347 
        34.       115.   2.67E-02    1.5E-03                      O114600300348 
        34.       135.   9.43E-03   2.74E-04                      O114600300349 
        34.       155.   5.72E-03                                 O114600300350 
        35.        25.    5.3E-01   3.26E-03                      O114600300351 
        35.        35.   3.85E-01   2.49E-03                      O114600300352 
        35.        45.   3.37E-01   2.58E-03                      O114600300353 
        35.        55.   2.29E-01   1.92E-03                      O114600300354 
        35.        65.   1.27E-01   1.58E-03                      O114600300355 
        35.        75.   8.38E-02   1.16E-03                      O114600300356 
        35.        85.   6.26E-02   1.11E-03                      O114600300357 
        35.        95.   3.33E-02   7.55E-04                      O114600300358 
        35.       115.   2.07E-02   1.21E-03                      O114600300359 
        35.       135.   8.13E-03   2.59E-04                      O114600300360 
        35.       155.    5.8E-03                                 O114600300361 
        36.        25.   5.32E-01   3.27E-03                      O114600300362 
        36.        35.   3.67E-01   2.44E-03                      O114600300363 
        36.        45.   3.03E-01   2.44E-03                      O114600300364 
        36.        55.   2.05E-01   1.82E-03                      O114600300365 
        36.        65.   1.18E-01   1.52E-03                      O114600300366 
        36.        75.    7.6E-02   1.11E-03                      O114600300367 
        36.        85.   5.38E-02   1.03E-03                      O114600300368 
        36.        95.   2.92E-02   7.05E-04                      O114600300369 
        36.       115.   1.82E-02   1.14E-03                      O114600300370 
        36.       135.   7.29E-03   2.39E-04                      O114600300371 
        36.       155.    4.8E-03                                 O114600300372 
        37.        25.   5.18E-01   3.22E-03                      O114600300373 
        37.        35.   3.62E-01   2.41E-03                      O114600300374 
        37.        45.   3.05E-01   2.45E-03                      O114600300375 
        37.        55.   2.01E-01    1.8E-03                      O114600300376 
        37.        65.   1.16E-01   1.51E-03                      O114600300377 
        37.        75.   6.98E-02   1.07E-03                      O114600300378 
        37.        85.   4.51E-02   9.45E-04                      O114600300379 
        37.        95.   2.48E-02   6.56E-04                      O114600300380 
        37.       115.   1.74E-02   1.16E-03                      O114600300381 
        37.       135.   6.16E-03    2.3E-04                      O114600300382 
        37.       155.   3.82E-03                                 O114600300383 
        38.        25.   4.82E-01    3.1E-03                      O114600300384 
        38.        35.   3.35E-01   2.33E-03                      O114600300385 
        38.        45.   2.87E-01   2.38E-03                      O114600300386 
        38.        55.   1.87E-01   1.73E-03                      O114600300387 
        38.        65.     1.E-01   1.41E-03                      O114600300388 
        38.        75.    6.3E-02     1.E-03                      O114600300389 
        38.        85.   4.71E-02   9.58E-04                      O114600300390 
        38.        95.   2.34E-02   6.12E-04                      O114600300391 
        38.       115.   1.38E-02   1.02E-03                      O114600300392 
        38.       135.   5.58E-03   2.08E-04                      O114600300393 
        38.       155.   3.59E-03                                 O114600300394 
        39.        25.   5.19E-01   3.22E-03                      O114600300395 
        39.        35.    3.6E-01   2.41E-03                      O114600300396 
        39.        45.   2.77E-01   2.33E-03                      O114600300397 
        39.        55.   1.81E-01   1.71E-03                      O114600300398 
        39.        65.   9.39E-02   1.36E-03                      O114600300399 
        39.        75.   5.78E-02   9.61E-04                      O114600300400 
        39.        85.   4.12E-02   9.08E-04                      O114600300401 
        39.        95.   2.06E-02   6.02E-04                      O114600300402 
        39.       115.   1.23E-02   9.18E-04                      O114600300403 
        39.       135.   4.53E-03    1.9E-04                      O114600300404 
        39.       155.   3.32E-03                                 O114600300405 
        40.        25.   4.76E-01   3.09E-03                      O114600300406 
        40.        35.   3.19E-01   2.27E-03                      O114600300407 
        40.        45.   2.72E-01   2.31E-03                      O114600300408 
        40.        55.   1.77E-01   1.69E-03                      O114600300409 
        40.        65.   9.06E-02   1.34E-03                      O114600300410 
        40.        75.    5.4E-02   9.37E-04                      O114600300411 
        40.        85.   3.79E-02   8.65E-04                      O114600300412 
        40.        95.   1.73E-02   5.12E-04                      O114600300413 
        40.       115.   1.26E-02   9.62E-04                      O114600300414 
        40.       135.   3.89E-03   1.77E-04                      O114600300415 
        40.       155.   2.57E-03                                 O114600300416 
        41.        25.   5.12E-01   3.21E-03                      O114600300417 
        41.        35.   3.36E-01   2.33E-03                      O114600300418 
        41.        45.   2.56E-01   2.25E-03                      O114600300419 
        41.        55.   1.54E-01   1.58E-03                      O114600300420 
        41.        65.   8.47E-02    1.3E-03                      O114600300421 
        41.        75.   4.98E-02   8.96E-04                      O114600300422 
        41.        85.   3.66E-02    8.5E-04                      O114600300423 
        41.        95.   1.57E-02    5.2E-04                      O114600300424 
        41.       115.   8.24E-03   7.39E-04                      O114600300425 
        41.       135.    3.5E-03   1.67E-04                      O114600300426 
